# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  6 20:26:53 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_insol desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_kepmag:      Kepler Magnitude
#
pl_name,hostname,disposition,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_trandur,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_kepmag
K2-131 b,K2-131,CONFIRMED,0.36930380,0.009360,1.690,4070.00,2223,,5120.00,0.76,0.80,-0.040,,152.5090000,11.937
EPIC 246163416.01,EPIC 246163416,FALSE POSITIVE,0.87680000,0.003400,8.468,4001.69,,,3734.00,0.52,0.51,-0.101,4.72,118.9255000,13.482
K2-141 b,K2-141,CONFIRMED,0.28032460,,1.648,3967.92,2211,0.8680000,4477.00,0.72,,,4.56,61.8736000,10.619
K2-131 b,K2-131,CONFIRMED,0.36930572,,2.134,3842.34,2008,1.0027781,5129.00,0.76,,,4.62,152.5090000,11.937
HAT-P-56 b,HAT-P-56,CONFIRMED,2.79096300,0.044700,17.000,3515.00,,2.3000000,6863.00,1.88,1.53,,4.08,320.6390000,10.900
K2-141 b,K2-141,CONFIRMED,0.28032440,0.007470,1.510,3260.00,2103,,4570.00,0.68,0.71,0.000,,61.8736000,10.619
K2-260 b,K2-260,CONFIRMED,2.62669830,,18.797,2520.03,1973,4.0870000,6475.00,1.77,,,4.06,663.8340000,12.465
EPIC 208833261.01,EPIC 208833261,CANDIDATE,3.47323986,,16.659,2304.53,1767,4.3731099,7406.97,1.56,,,4.28,1490.4900000,
HAT-P-56 b,HAT-P-56,CONFIRMED,2.79082577,,16.737,1998.78,1705,2.2330146,6635.91,1.47,,,4.25,320.6390000,10.900
EPIC 202126884.01,EPIC 202126884,CANDIDATE,5.31937554,,19.668,1968.90,1699,6.6913995,6350.00,2.37,,,3.79,835.9070000,12.300
K2-100 b,K2-100,CONFIRMED,1.67390350,0.030100,3.880,1915.00,1841,,5945.00,1.24,1.15,0.220,4.33,188.9590000,10.408
EPIC 210550063.01,EPIC 210550063,CANDIDATE,2.16595219,,2.911,1867.88,1677,1.5926216,6194.54,1.31,,,4.28,216.4110000,11.147
K2-237 b,K2-237,CONFIRMED,2.18053539,0.035580,16.197,1860.00,1828,2.9278000,6360.00,1.26,1.26,0.137,4.34,314.9950000,11.468
K2-237 b,K2-237,CONFIRMED,2.18052771,,16.809,1770.47,1654,2.9691750,6599.00,1.27,,,4.21,314.9950000,11.468
K2-61 b,K2-61,CONFIRMED,2.57302000,0.039200,2.480,1686.00,,2.3300000,6293.00,1.36,1.21,,4.25,405.7320000,12.975
WASP-75 b,WASP-75,CONFIRMED,2.48419050,0.037930,15.600,1657.00,,1.8860000,6090.00,1.39,1.18,,4.22,294.0010000,11.299
HD 3167 b,HD 3167,CONFIRMED,0.95964100,0.017960,1.670,1650.00,1774,,5261.00,0.88,0.84,0.040,,47.2899000,8.945
HD 3167 b,HD 3167,CONFIRMED,0.95964100,0.018150,1.700,1625.00,,1.6220000,5261.00,0.86,0.86,0.040,4.47,47.2899000,8.945
EPIC 210754505.01,EPIC 210754505,FALSE POSITIVE,0.87067630,,6.521,1486.34,1729,1.0070000,6121.00,1.47,,,4.17,568.7540000,13.185
K2-39 b,K2-39,CONFIRMED,4.60497000,0.057400,5.710,1356.00,1670,,4912.00,2.93,1.19,0.430,3.58,307.4700000,10.581
EPIC 211147528.01,EPIC 211147528,CANDIDATE,2.34949030,,14.655,1355.37,1690,2.0140000,7418.50,1.51,,,4.31,550.3630000,11.832
K2-31 b,K2-31,CONFIRMED,1.25785420,0.022580,34.000,1272.00,,0.8090000,5465.00,0.90,0.97,,4.52,110.5270000,10.607
K2-60 b,K2-60,CONFIRMED,3.00262700,0.041790,9.900,1212.00,,3.1240000,5749.00,1.47,1.08,,4.14,491.8700000,12.590
K2-39 b,K2-39,CONFIRMED,4.60497000,0.057080,7.090,1148.00,,0.0000000,4993.00,2.59,1.17,,3.68,307.4700000,10.581
K2-52 b,K2-52,CONFIRMED,3.53482000,0.048500,11.100,1124.00,,5.3250000,6113.00,1.49,1.21,,4.14,1038.4100000,15.037
EPIC 218701083.01,EPIC 218701083,CANDIDATE,5.05210000,0.052900,2.139,1074.00,,,6262.00,1.48,1.20,-0.184,4.18,539.1680000,12.486
K2-85 b,K2-85,CONFIRMED,0.68455700,0.013000,1.370,1069.10,,,4376.21,0.68,0.70,,,97.2179000,12.099
EPIC 249893012 b,EPIC 249893012,CONFIRMED,3.59510000,0.047000,1.950,1037.00,1616,4.3300000,5430.00,1.71,1.05,0.200,3.99,321.2960000,11.364
K2-98 b,K2-98,CONFIRMED,10.13672830,,5.441,992.26,1563,5.3410000,6283.00,1.51,,,4.17,518.6250000,12.102
K2-100 b,K2-100,CONFIRMED,1.67390240,0.042200,3.450,990.00,1094,1.6056000,6120.00,1.19,1.18,0.140,4.36,188.9590000,10.408
K2-34 b,K2-34,CONFIRMED,2.99563660,,13.194,963.57,1552,2.2870000,6135.50,1.40,,,4.21,348.6460000,11.441
EPIC 211309648.01,EPIC 211309648,CANDIDATE,3.13936670,,15.900,963.20,1597,3.9570000,5653.40,1.52,,,4.08,910.7340000,13.848
K2-413 b,K2-413,CONFIRMED,0.80940000,0.011700,0.760,921.75,,,4116.00,0.70,0.81,-0.205,4.66,285.1620000,14.557
EPIC 212040382.01,EPIC 212040382,CANDIDATE,4.44554360,,15.818,906.00,1528,4.1520000,6355.80,2.11,,,3.89,923.3540000,12.521
K2-66 b,K2-66,CONFIRMED,5.06965000,0.060690,2.490,897.00,,4.4000000,5958.00,1.71,1.16,,4.04,513.8770000,12.051
K2-266 b,K2-266,CONFIRMED,0.65852400,0.013060,3.300,879.50,1515,0.3333600,4285.00,0.70,0.69,-0.120,4.58,77.5586000,11.386
K2-108 b,K2-108,CONFIRMED,4.73355751,,5.385,850.48,1377,3.2089234,5496.00,1.76,,,3.93,477.2950000,12.160
K2-66 b,K2-66,CONFIRMED,5.06963000,0.059830,2.490,840.00,1372,4.7100000,5887.00,1.67,1.11,-0.047,4.03,513.8770000,12.051
EPIC 211393988.01,EPIC 211393988,CANDIDATE,4.87403850,,14.319,819.40,1490,4.1250000,6504.40,1.80,,,4.05,1425.0200000,13.862
K2-19 d,K2-19,CONFIRMED,2.50858000,0.036000,1.220,766.00,,1.9300000,5748.00,1.01,0.99,,4.43,289.8270000,12.806
K2-108 b,K2-108,CONFIRMED,4.73401000,0.057300,5.280,762.00,1446,,5474.00,1.75,1.12,0.330,3.99,477.2950000,12.160
K2-100 b,K2-100,CONFIRMED,1.67390290,,3.444,757.17,1461,1.3550000,6115.50,1.22,,,4.33,188.9590000,10.408
K2-22 b,K2-22,CONFIRMED,0.38107800,0.009000,4.750,737.90,,,3879.18,0.58,0.60,,,243.8360000,14.928
EPIC 211843564.01,EPIC 211843564,CANDIDATE,0.45220131,,7.917,731.24,1326,0.5773712,3739.00,0.63,,,4.62,379.4300000,16.042
EPIC 247560727.02,EPIC 247560727,CANDIDATE,8.43560000,0.070800,2.919,704.73,,,5634.00,0.78,0.69,-0.130,4.49,684.2000000,15.164
WASP-28 b,WASP-28,CONFIRMED,3.40883300,,14.263,695.65,1430,3.1630000,6134.00,1.11,,,4.41,348.4940000,11.933
K2-44 b,K2-44,CONFIRMED,5.65688000,0.065100,2.720,646.00,,4.3600000,5912.00,1.58,1.15,,4.10,476.7030000,12.126
EPIC 246851721 b,EPIC 246851721,CONFIRMED,6.18023500,0.072290,11.781,642.00,1401,4.1080800,6202.00,1.59,1.32,0.141,4.16,372.6320000,11.257
WASP-85 A b,WASP-85 A,CONFIRMED,2.65567525,,,640.33,1283,2.6111014,5817.30,,,,,141.8870000,10.247
K2-291 b,K2-291,CONFIRMED,2.22517700,0.032610,1.589,633.00,,1.7190000,5520.00,0.90,0.93,0.080,4.50,90.0562000,9.891
K2-411 b,K2-411,CONFIRMED,3.21410000,0.051100,0.990,619.04,,,5711.00,1.38,1.02,0.141,4.17,298.2190000,11.935
EPIC 220356827.01,EPIC 220356827,FALSE POSITIVE,4.75350000,0.055900,1.515,594.59,,,5986.00,1.27,0.98,0.030,4.22,522.6550000,12.577
K2-19 d,K2-19,CONFIRMED,2.50856000,0.034400,1.140,583.50,1252,2.1700000,5430.00,0.86,0.93,0.100,4.63,289.8270000,12.806
K2-36 b,K2-36,CONFIRMED,1.42264700,0.023080,1.450,570.00,,1.0470000,4953.00,0.75,0.81,,4.60,109.7490000,11.531
EPIC 212036875.01,EPIC 212036875,CANDIDATE,5.16990260,,9.236,562.18,1356,1.9720000,6283.40,1.48,,,4.18,306.5700000,10.937
HATS-36 b,HATS-36,CONFIRMED,4.17523870,0.054250,13.843,561.00,1356,3.4627200,6149.00,1.16,1.22,0.280,4.40,856.4360000,14.300
K2-36 b,K2-36,CONFIRMED,1.42266000,0.023000,1.320,546.30,1232,1.2060000,4924.00,0.74,0.80,-0.030,4.65,109.7490000,11.531
EPIC 247164043.01,EPIC 247164043,CANDIDATE,5.22898740,,2.351,538.64,1342,3.3860000,6213.00,1.28,,,4.30,128.6540000,9.482
WASP-47 b,WASP-47,CONFIRMED,4.15922100,0.050700,12.300,534.00,,3.5524000,5950.00,1.10,1.00,,4.32,264.7800000,11.762
EPIC 201683540.01,EPIC 201683540,CANDIDATE,1.96133691,,15.866,533.38,1226,1.6323670,4427.00,1.07,,,4.22,592.2040000,14.956
K2-36 b,K2-36,CONFIRMED,1.42261400,0.022300,1.430,529.00,1224,1.2376800,4916.00,0.72,0.79,-0.090,4.62,109.7490000,11.531
EPIC 246851721 b,EPIC 246851721,CONFIRMED,6.18026750,,13.274,519.97,1330,3.8680000,6513.00,1.74,,,4.08,372.6320000,11.257
K2-36 b,K2-36,CONFIRMED,1.42261400,0.022880,1.430,519.00,1328,,4916.00,0.72,0.79,,,109.7490000,11.531
EPIC 220198551.01,EPIC 220198551,CANDIDATE,0.79885250,,4.007,512.92,1325,0.8310000,4785.00,0.86,,,4.45,232.8220000,12.869
K2-308 b,K2-308,CONFIRMED,3.38641715,,8.207,512.90,1214,2.8543861,5780.00,1.00,,,4.44,1314.5300000,14.752
K2-38 b,K2-38,CONFIRMED,4.01593000,0.050300,1.655,490.00,1310,,5705.00,1.14,1.05,0.235,,192.6900000,11.210
K2-111 b,K2-111,CONFIRMED,5.35180000,0.056500,1.820,490.00,1309,,5775.00,1.25,0.84,-0.460,,200.3940000,12.300
K2-138 b,K2-138,CONFIRMED,2.35322000,0.033800,1.570,486.00,,1.7300000,5378.00,0.86,0.93,0.160,4.59,202.5850000,12.069
K2-38 b,K2-38,CONFIRMED,4.01628000,0.050730,1.640,480.00,,2.7400000,5758.00,1.12,1.08,,4.36,192.6900000,11.210
K2-85 b,K2-85,CONFIRMED,0.68453300,0.012630,1.010,479.00,,0.7820000,4268.00,0.51,0.57,,4.78,97.2179000,12.099
WASP-55 b,WASP-55,CONFIRMED,4.46563433,,14.647,471.60,1189,3.5125180,6070.00,1.09,,,4.42,297.4620000,11.738
K2-38 b,K2-38,CONFIRMED,4.01593000,0.050600,1.550,465.90,1184,2.8610000,5757.00,1.10,1.07,0.280,4.35,192.6900000,11.210
K2-58 c,K2-58,CONFIRMED,2.53726000,0.035000,1.620,462.00,,1.9960000,5413.00,0.86,0.89,,4.52,181.7460000,12.150
WASP-151 b,WASP-151,CONFIRMED,4.53347100,0.055000,12.666,460.00,1290,3.6600000,5871.00,1.14,1.08,0.100,4.35,453.0990000,12.670
EPIC 220228500.01,EPIC 220228500,CANDIDATE,2.50481780,,3.947,448.65,1282,2.0770000,5328.00,0.92,,,4.47,427.0380000,13.422
K2-75 b,K2-75,CONFIRMED,7.81420000,0.081000,2.670,430.00,,5.4800000,5995.00,1.56,1.16,,4.12,561.9300000,12.566
K2-370 b,K2-370,CONFIRMED,2.14080630,,2.596,428.20,1267,1.5690000,5372.00,1.00,,,4.41,144.2020000,10.876
K2-38 b,K2-38,CONFIRMED,4.01593000,0.049940,1.540,426.00,1266,,5731.00,1.06,1.03,0.260,4.38,192.6900000,11.210
K2-138 b,K2-138,CONFIRMED,2.35321000,0.033800,1.490,424.51,1157,1.9470000,5283.00,0.84,0.92,0.134,4.54,202.5850000,12.069
WASP-47 b,WASP-47,CONFIRMED,4.15914880,,12.162,417.30,1259,3.5400000,5576.00,1.11,,,4.34,264.7800000,11.762
WASP-151 b,WASP-151,CONFIRMED,4.53347890,,13.609,396.87,1243,3.4360000,5846.00,1.20,,,4.31,453.0990000,12.670
EPIC 210706310.01,EPIC 210706310,CANDIDATE,5.17180000,0.051000,0.889,391.10,,,5941.00,0.95,0.71,-0.252,4.33,279.4630000,12.294
WASP-75 b,WASP-75,CONFIRMED,2.48419750,,13.341,383.05,1232,1.5110000,6089.00,1.28,,,4.28,294.0010000,11.299
K2-45 b,K2-45,CONFIRMED,1.72925700,0.025000,10.440,380.50,,,4262.10,0.69,0.68,,,495.3170000,15.319
EPIC 211812935.01,EPIC 211812935,CANDIDATE,3.60799160,,15.382,378.21,1228,2.9910000,5308.30,1.89,,,,330.3870000,12.640
K2-253 b,K2-253,CONFIRMED,4.00357733,,12.963,365.82,1115,2.0958153,5318.00,1.08,,,4.33,876.5650000,14.665
K2-87 b,K2-87,CONFIRMED,9.72665000,,7.239,361.74,1214,4.5840000,5583.60,1.45,,,4.11,491.2420000,13.691
K2-334 b,K2-334,CONFIRMED,5.11385880,,5.837,359.23,1212,2.3610000,6315.70,1.51,,,4.17,371.8230000,11.402
K2-291 b,K2-291,CONFIRMED,2.22516390,,1.504,348.60,1203,1.5450000,5509.00,0.92,,,4.50,90.0562000,9.891
EPIC 220448185.01,EPIC 220448185,CANDIDATE,0.36432248,,6.953,329.30,1086,0.2120684,3473.00,0.35,,,4.88,233.7350000,15.976
GJ 9827 b,GJ 9827,CONFIRMED,1.20897550,,1.686,325.75,1183,1.2860000,4199.00,0.63,,,4.65,29.6610000,10.277
EPIC 247874191.01,EPIC 247874191,CANDIDATE,7.62400000,0.077500,2.455,321.73,,,5998.00,1.29,1.05,-0.163,4.24,867.8870000,14.894
GJ 9827 b,GJ 9827,CONFIRMED,1.20898190,0.018800,1.577,318.00,1175,,4305.00,0.60,0.61,-0.260,,29.6610000,10.277
K2-167 b,K2-167,CONFIRMED,9.97748000,0.091000,2.300,317.00,1174,,6011.00,1.49,1.01,-0.400,,80.8994000,8.220
GJ 9827 b,GJ 9827,CONFIRMED,1.20898020,0.018880,1.620,315.00,1172,1.2597600,4269.00,0.61,0.61,-0.500,4.65,29.6610000,10.277
K2-45 b,K2-45,CONFIRMED,1.72902336,,11.898,313.99,1074,1.6887274,4377.00,0.77,,,4.50,495.3170000,15.319
K2-232 b,K2-232,CONFIRMED,11.16840370,,12.770,312.15,1171,5.3540000,5981.00,1.22,,,4.31,130.7200000,9.789
K2-12 b,K2-12,CONFIRMED,8.28176000,0.084700,2.720,310.00,,4.1800000,6177.00,1.31,1.18,,4.28,326.3810000,12.137
K2-182 b,K2-182,CONFIRMED,4.73696690,,2.939,307.52,1166,2.5800000,5069.20,0.79,,,4.46,154.8300000,11.742
K2-78 b,K2-78,REFUTED,2.29418500,,1.956,304.48,1065,2.7507630,5062.00,0.71,,,4.62,146.9050000,11.892
K2-285 b,K2-285,CONFIRMED,3.47156440,,2.652,304.05,1163,2.1300000,5144.50,0.77,,,4.60,154.9610000,11.665
EPIC 211705502.01,EPIC 211705502,FALSE POSITIVE,2.58452960,,5.883,303.08,1162,1.3890000,6119.00,1.40,,,4.20,774.1570000,13.216
K2-167 b,K2-167,CONFIRMED,9.97833193,,2.052,300.96,1062,4.2281711,6073.50,1.47,,,4.10,80.8994000,8.220
K2-30 b,K2-30,CONFIRMED,4.09850600,0.048900,12.300,299.00,,2.2410000,5567.00,0.92,0.93,,4.48,333.0420000,13.171
K2-132 b,K2-132,CONFIRMED,9.17205350,,9.029,293.37,1152,7.1690000,4933.00,3.79,,,4.44,609.8180000,11.651
K2-29 b,K2-29,CONFIRMED,3.25876800,0.042140,11.420,293.00,,2.0710000,5323.00,0.85,0.94,,4.55,178.4750000,12.914
K2-29 b,K2-29,CONFIRMED,3.25881103,,12.868,284.42,1047,2.2154690,5387.06,0.82,,,4.58,178.4750000,12.914
EPIC 211724246.01,EPIC 211724246,CANDIDATE,4.74644850,,10.321,281.82,1141,2.4080000,5890.50,2.26,,,3.76,1175.9800000,13.242
K2-138 c,K2-138,CONFIRMED,3.55987000,0.044540,2.520,279.00,,2.3290000,5378.00,0.86,0.93,0.160,4.59,202.5850000,12.069
K2-113 b,K2-113,CONFIRMED,5.81764520,,11.646,277.39,1136,2.5770000,5633.40,1.22,,,4.27,635.7220000,13.514
HD 89345 b,HD 89345,CONFIRMED,11.81417262,,6.972,275.64,1039,5.5649352,5609.00,1.79,,,3.93,132.3450000,9.204
K2-233 b,K2-233,CONFIRMED,2.46746000,0.033170,1.398,273.00,1040,1.9690000,4950.00,0.74,0.80,0.070,4.71,67.5062000,10.422
K2-390 b,K2-390,CONFIRMED,3.31292140,,4.289,260.96,1119,2.0970000,5512.00,0.98,,,4.44,456.1220000,13.376
GJ 9827 b,GJ 9827,CONFIRMED,1.20896600,0.020600,1.580,256.00,1114,1.2810000,4219.00,0.62,0.64,-0.290,4.66,29.6610000,10.277
EPIC 211929937.01,EPIC 211929937,CANDIDATE,3.47701709,,11.857,253.07,1017,2.5101218,5225.91,0.84,,,4.54,514.4490000,14.156
K2-138 c,K2-138,CONFIRMED,3.56015000,0.044200,2.260,248.95,1012,2.3390000,5283.00,0.84,0.92,0.134,4.54,202.5850000,12.069
K2-216 b,K2-216,CONFIRMED,2.17480000,0.028000,1.750,248.00,1103,1.8400000,4503.00,0.72,0.70,0.000,4.57,115.4610000,12.100
K2-412 b,K2-412,CONFIRMED,5.93820000,0.058600,2.116,243.52,,,5590.00,0.98,0.89,0.014,4.41,654.0850000,15.160
K2-37 b,K2-37,CONFIRMED,4.44118000,0.051050,1.660,240.00,,2.3000000,5512.00,0.87,0.90,,4.51,179.9430000,12.241
HD 106315 b,HD 106315,CONFIRMED,9.55210000,0.090120,2.230,240.00,,3.9600000,6290.00,1.18,1.07,-0.240,4.29,109.3530000,9.234
K2-285 b,K2-285,CONFIRMED,3.47174500,0.038170,2.590,234.31,1089,2.1800000,4975.00,0.79,0.83,0.000,4.40,154.9610000,11.665
EPIC 246048459.01,EPIC 246048459,FALSE POSITIVE,2.05070000,0.025800,0.406,232.82,,,4514.00,0.65,0.77,-0.368,4.70,83.9705000,11.601
K2-188 c,K2-188,CONFIRMED,7.80920520,,2.709,230.63,1085,3.3930000,5906.90,1.22,,,4.30,446.8210000,12.704
K2-167 b,K2-167,CONFIRMED,9.97857000,0.099900,2.264,229.00,1131,3.6310000,6141.00,1.46,1.34,0.425,4.24,80.8994000,8.220
EPIC 210967369.01,EPIC 210967369,CANDIDATE,7.11490000,0.058900,0.984,220.29,,,5534.00,0.95,0.84,0.320,4.41,267.4050000,12.401
EPIC 201324549.01,EPIC 201324549,FALSE POSITIVE,2.51940390,,7.657,219.34,,1.1130000,6380.00,1.76,,,,476.8840000,12.146
K2-35 b,K2-35,CONFIRMED,2.39984000,0.032000,1.400,217.40,979,2.0640000,4680.00,0.72,0.76,0.040,4.56,252.5960000,13.917
K2-27 b,K2-27,CONFIRMED,6.77131500,0.070300,5.360,216.00,,2.8020000,5797.00,1.03,1.01,,4.42,249.6450000,12.428
K2-37 b,K2-37,CONFIRMED,4.44117000,0.051100,1.610,213.30,974,2.7060000,5413.00,0.85,0.90,-0.030,4.52,179.9430000,12.241
K2-73 b,K2-73,CONFIRMED,7.49543000,0.076190,2.450,213.00,,3.6200000,5922.00,1.06,1.05,,4.41,269.1830000,11.745
K2-35 b,K2-35,CONFIRMED,2.39996400,0.031000,1.320,211.00,,,4402.71,0.62,0.70,,,252.5960000,13.917
K2-30 b,K2-30,CONFIRMED,4.09848660,,14.903,204.94,1054,2.1910000,5198.00,1.06,,,4.33,333.0420000,13.171
K2-140 b,K2-140,CONFIRMED,6.56918800,0.068000,13.563,204.00,962,3.8100000,5585.00,1.06,0.96,0.100,4.40,347.9170000,12.483
K2-147 b,K2-147,CONFIRMED,0.96191700,0.015900,1.380,200.10,,,3672.00,0.55,0.58,0.190,4.72,90.5494000,13.355
K2-371 b,K2-371,CONFIRMED,3.11489170,,11.972,198.09,957,2.3626321,4973.00,0.75,,,4.44,442.8130000,14.424
EPIC 247047370.01,EPIC 247047370,CANDIDATE,4.20507413,,3.324,197.51,956,1.1574129,5086.00,0.88,,,4.48,113.2050000,10.881
K2-277 b,K2-277,CONFIRMED,6.32668004,,2.290,195.73,954,2.0310601,5673.00,0.98,,,4.46,113.1230000,10.215
WASP-47 d,WASP-47,CONFIRMED,9.03164000,0.085000,3.180,190.00,,4.2600000,5950.00,1.10,1.00,,4.32,264.7800000,11.762
K2-140 b,K2-140,CONFIRMED,6.56930000,0.059100,12.274,188.50,1114,4.5600000,5654.00,0.99,1.00,0.120,4.45,347.9170000,12.483
K2-63 b,K2-63,CONFIRMED,20.25700000,0.162700,3.220,188.00,,5.4900000,6771.00,1.63,1.40,,4.15,517.5340000,12.703
K2-79 b,K2-79,CONFIRMED,10.99573000,0.098700,3.690,186.00,,4.4200000,5926.00,1.28,1.06,,4.25,256.0110000,11.801
K2-12 b,K2-12,CONFIRMED,8.28246000,0.079200,2.440,185.00,1026,,5672.00,1.12,0.96,0.000,,326.3810000,12.137
K2-79 b,K2-79,CONFIRMED,10.99470000,0.098800,4.090,181.00,1022,,5897.00,1.26,1.07,0.035,,256.0110000,11.801
K2-261 b,K2-261,CONFIRMED,11.63347800,0.108700,9.505,180.00,1030,5.1380000,5503.00,1.64,1.27,0.384,4.11,213.2830000,10.451
K2-261 b,K2-261,CONFIRMED,11.63347800,0.103400,9.528,180.00,1046,5.1380000,5445.00,1.64,1.09,0.360,4.04,213.2830000,10.451
K2-84 b,K2-84,CONFIRMED,6.42150000,0.066500,2.410,178.00,,2.8100000,5652.00,0.93,0.95,,4.48,284.8760000,13.138
EPIC 246022853.01,EPIC 246022853,FALSE POSITIVE,10.72280000,0.087900,1.300,175.69,,,5909.00,1.11,0.88,-0.147,4.29,279.0880000,11.480
EPIC 212099230.01,EPIC 212099230,CANDIDATE,7.11239650,,2.022,175.23,1013,2.3610000,5595.70,0.91,,,4.52,123.6470000,10.513
K2-216 b,K2-216,CONFIRMED,2.17478240,,1.791,174.94,1013,1.6540000,4542.00,0.71,,,4.58,115.4610000,12.100
EPIC 211335816.01,EPIC 211335816,CANDIDATE,4.98986640,,9.128,167.03,1001,1.0370000,6242.00,1.63,,,4.09,528.4690000,11.929
K2-80 c,K2-80,CONFIRMED,5.60500000,0.059600,1.470,166.00,,2.6800000,5441.00,0.87,0.90,,4.52,200.8020000,12.388
K2-19 b,K2-19,CONFIRMED,7.91952000,0.077500,8.200,165.00,,3.2370000,5748.00,1.01,0.99,,4.43,289.8270000,12.806
EPIC 201497682.04,EPIC 201497682,CANDIDATE,3.88300000,,1.060,162.00,,2.0300000,,0.55,,,,253.0260000,13.740
K2-138 d,K2-138,CONFIRMED,5.40478000,0.058830,2.660,160.00,,2.9700000,5378.00,0.86,0.93,0.160,4.59,202.5850000,12.069
EPIC 249893012 c,EPIC 249893012,CONFIRMED,15.62400000,0.130000,3.670,160.00,990,6.3700000,5430.00,1.71,1.05,0.200,3.99,321.2960000,11.364
K2-138 d,K2-138,CONFIRMED,5.40484000,0.057500,2.460,147.12,888,2.7640000,5283.00,0.84,0.92,0.134,4.54,202.5850000,12.069
K2-182 b,K2-182,CONFIRMED,4.73696830,0.052600,2.690,146.90,969,2.5610000,5170.00,0.79,0.86,0.120,4.61,154.8300000,11.742
K2-405 b,K2-405,CONFIRMED,3.43551130,,4.184,146.58,969,2.1100000,4870.00,0.80,,,4.53,197.2340000,12.568
V1298 Tau c,V1298 Tau,CONFIRMED,8.24958000,0.082500,5.590,146.00,968,4.6600000,,1.34,1.10,,,108.1990000,10.514
K2-37 c,K2-37,CONFIRMED,6.42973000,0.065340,2.650,146.00,,2.9080000,5512.00,0.87,0.90,,4.51,179.9430000,12.241
