# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 30 18:42:55 2024
#
# User preference: *
#
# CONSTRAINT:  order by tfopwg_disp asc
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
toi,tid,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
1251.01,233120979,APC,273.5292380,62.8582430,-17.9000000,-3.0000000,2459759.1786750,5.9630544,2.9510000,11000.0000000,10.0859000,112.6670000,,10.6479000,185.9520000,5273.0000000,4.4380000,0.9400000
1286.01,277507814,APC,310.9536190,59.5766280,4.3080000,5.8520000,2460366.7387660,0.6166949,0.6380000,855.0000000,6.0793400,4588.6100000,2292.0000000,10.1653000,278.7710000,6588.0000000,4.1855000,1.5700000
1307.01,236815160,APC,283.6374890,59.7631930,-0.2000000,29.6000000,2459764.1346360,2.5346120,1.9780000,5185.2815163,,336.9340000,1193.0000000,10.7967000,,5009.6000000,,
131.01,235037761,APC,353.8287130,-64.5619170,192.8260000,-31.0690000,2460173.3385510,6.2407826,1.5130000,6114.0000000,16.0959000,41.7384000,708.0000000,9.8567000,,4174.0000000,4.3419700,0.9000000
1311.01,378159598,APC,294.7227340,41.5651540,5.8620000,6.0050000,2459392.6440180,6.1406417,2.3525428,9437.1831553,26.5174686,2040.1072476,1714.0875450,10.5819000,556.8130000,8298.0000000,4.1900000,1.8749300
1322.01,240450679,APC,323.5273610,46.9317740,1.3960000,-3.3400000,2458711.4496900,3.3764400,1.4370000,5791.2000000,,1059.2600000,1589.0000000,10.0819000,713.7250000,8639.7000000,3.9600000,
1327.01,312083267,APC,303.2952230,36.7254850,0.6840000,-0.5930000,2460364.8066530,3.9392136,2.3800000,1480.0000000,21.4660000,10073.1000000,1553.0000000,8.3818900,457.7920000,8715.0000000,3.5500000,4.1200000
1349.01,272635712,APC,231.1621290,67.4647510,23.9180000,-46.8590000,2458693.5740500,12.7167200,2.5290000,388.1260000,2.7546000,34.1387000,673.0000000,9.3482200,130.2420000,5711.1000000,4.2400000,1.2700000
1351.01,1718201850,APC,286.7465490,71.7121950,-42.8690000,2.8030000,2460346.2365960,5.9294093,3.4120000,14603.0000000,,,,10.3267000,125.3080000,,,
1352.01,336740528,APC,334.7385590,61.1489880,14.0200000,12.8430000,2458740.6261000,5.2962500,3.0700000,4741.2600000,14.6325000,360.4970000,1213.0000000,10.4209000,315.0431000,5958.7000000,,1.9300000
1371.01,162130054,APC,331.1177050,31.0187670,4.5300000,-1.5160000,2459848.5252930,5.0095595,3.3530000,8700.0000000,36.2553000,2088.5900000,1883.0000000,9.9480000,302.2950000,6527.0000000,4.1100000,1.7500000
1378.01,249812036,APC,339.7855410,49.4265620,5.2350000,-3.8780000,2459850.6242410,5.7785318,2.3480000,4990.0000000,42.6903000,2264.5100000,1921.0000000,9.6240000,547.3990000,8224.0000000,3.8100000,2.9200000
1379.01,252490659,APC,344.3597800,53.1408350,-1.3700000,-12.5770000,2459871.4386190,1132.0244686,4.1190000,18121.2000000,30.6957000,449.9470000,1283.0000000,10.3842000,366.2420000,5984.0000000,3.9800000,2.0700000
138.01,277683130,APC,328.9260180,-61.6732570,-23.8000000,2.8000000,2460175.1423800,6.1982658,1.9120000,3896.0000000,7.8458500,234.3430000,,9.5739000,128.4880000,5722.0000000,4.3558200,1.1100000
1398.01,66445643,APC,341.3862980,48.1615560,-2.4320000,-6.6360000,2459870.2296060,6.5560894,2.6760000,770.0000000,12.8821000,1165.2700000,1627.0000000,8.6291000,648.3980000,8918.0000000,3.5100000,4.5800000
140.01,140068425,APC,330.3017770,-49.0600770,32.4890000,-15.4380000,2458327.3998280,2.2813432,1.1601933,1126.6619488,12.7387194,5760.9720984,2221.9981475,9.7828000,337.1050000,6174.0000000,4.2740400,2.3551100
1409.01,115771549,APC,339.8159150,33.8894590,-9.2000000,-6.3000000,2459844.1250390,4.7182888,4.0460000,3000.0000000,15.2763000,876.8860000,1516.0000000,8.3764000,83.2324000,6112.0000000,,2.7400000
1412.01,116483734,APC,233.0658330,47.8607460,122.4670000,-70.6630000,2459714.0755110,4.7319770,0.3610000,3470.0000000,6.9738400,3.0184100,367.0000000,11.0997000,81.0643000,4223.4500000,4.6174400,0.6600000
1414.01,125442121,APC,351.5797210,38.5529400,3.1640000,-8.1730000,2459853.5836820,3.0197807,3.5896763,12016.7483851,17.9176077,2558.7198805,1813.9505159,11.0290000,460.9510000,7128.0000000,4.2376800,1.5881500
1421.01,329277372,APC,332.6303960,57.2824370,4.6610000,25.2740000,2459854.5099430,2.8879675,3.6626399,23489.3314084,,634.2192374,1279.9105013,10.5998000,74.2281000,5780.0000000,4.4380000,
1425.01,350132371,APC,329.0913580,68.9980350,39.4560000,-35.7540000,2459853.5003570,1.0318271,1.5158304,5276.7851556,12.6596594,6047.8802101,2249.1610020,9.2575500,153.9040000,5810.6000000,4.1300000,1.4943300
1433.01,13684720,APC,305.5382570,36.0647840,44.0410000,49.2860000,2458695.0112330,12.4379715,1.7137815,123693.2601599,24.6478297,3.4868062,348.5191947,12.4647000,67.9631000,3275.0000000,4.7576100,0.4769970
1447.01,298073824,APC,201.3368170,75.9827130,-7.4860000,-1.6250000,2459754.5067300,1.2272251,3.5280000,40.0000000,2.8374000,15033.0000000,,8.1033000,309.2709000,6906.0000000,4.4380000,4.1200000
1455.01,387259626,APC,308.6702880,66.4403840,33.7000000,20.7930000,2460366.5464820,3.6231427,2.6070000,18057.0000000,19.2142000,909.0440000,1529.0000000,10.1543000,245.6920000,6458.8000000,4.3200000,1.3500000
1457.01,176860064,APC,354.8366510,45.7198510,-4.6000000,-10.7000000,2459875.9272470,6.3768548,2.4520000,2590.0000000,,774.7750000,1469.0000000,7.1145000,41.2482000,6393.0000000,,
1460.01,17005768,APC,20.6106390,26.9257290,14.4000000,-4.7000000,2459880.5926720,6.8424955,3.0020000,8290.0000000,13.2084000,439.9950000,,9.9176000,150.1020000,5766.0000000,4.4380000,1.1300000
1461.01,44631965,APC,22.2363940,35.8648540,31.7440000,9.3270000,2458767.3170520,3.5686777,2.5811179,20121.1854664,20.2503751,876.9639130,1387.9223847,11.3805000,359.9590000,6046.0000000,4.2692900,1.2852900
1490.01,283474780,APC,13.0176760,36.3930130,51.3640000,17.9500000,2458765.9143500,3.9943000,4.8760000,550.0000000,11.9767000,746.6660000,1456.0000000,8.3951100,247.1120000,4939.0000000,,5.1100000
1528.01,285543785,APC,13.2220220,60.8916850,-4.2000000,0.4000000,2459905.1587180,9.9385027,3.9910000,7940.0000000,,,,9.7160000,392.8780000,,,
153.01,231081369,APC,68.0737850,-66.9162990,12.1310000,15.6150000,2460069.8673580,7.6316384,2.0540000,4580.0000000,12.4425000,212.6170000,,11.7349000,436.2250000,6338.3000000,4.1600000,1.4900000
1531.01,312678993,APC,13.5973430,54.5280090,-5.3000000,-5.1000000,2459882.4970220,0.5175204,1.0433667,1347.9655570,,6277.4912154,2270.2112839,8.3593000,,5095.6000000,,
1553.01,327341626,APC,24.6905030,42.6777390,10.8620000,-10.2680000,2459908.5434880,5.9382147,2.2930000,6510.0000000,18.7642000,622.0740000,1391.0000000,10.3478000,441.4400000,6775.5000000,3.9700000,2.0900000
1564.01,250724252,APC,33.5052380,53.1215080,1.2000000,-7.4000000,2459882.5534680,0.5596701,2.3489886,4048.7540046,23.3403843,59920.8903180,3990.3805409,10.2845000,574.8690000,8368.0000000,,2.2978599
1569.01,285666479,APC,43.6106500,52.0710300,-3.5940000,-4.1270000,2458791.9836300,1.7161400,2.0380000,681.4490000,14.1349000,958.3400000,1550.0000000,10.4240000,755.7950000,5511.5000000,3.2800000,4.9200000
1606.01,125735470,APC,56.6602820,27.4715230,-1.0710000,-20.6860000,2460228.5271390,4.7126743,1.0610000,1941.0000000,6.9760200,38.0033000,691.0000000,9.0899500,143.3120000,5626.5000000,,1.5500000
1608.01,138017750,APC,50.8011500,33.0781330,109.2420000,-58.2640000,2459882.9387720,2.4727289,2.4406623,3007.0687155,13.9005086,4007.6606730,2029.2823839,7.4281200,100.6350000,6057.7000000,3.8400000,2.1280200
162.01,99493790,APC,317.6399080,-23.3058170,50.8630000,-19.9400000,2459078.3930530,7.7646910,3.1850000,24530.0000000,15.6068000,86.3134000,849.0000000,11.6834000,274.7330000,5404.7000000,4.4000000,0.9900000
1631.01,29054413,APC,50.9164510,25.0479350,19.7640000,-31.7740000,2458795.5115020,15.2521892,1.3463514,871.2527446,2.8346585,129.6204972,860.5738999,10.4289000,140.0650000,5473.0000000,4.4648800,0.9490220
1637.01,286355915,APC,37.8932410,34.3689250,-3.8140000,2.1290000,2459885.6663660,4.0766840,4.4132181,10459.7272290,17.5223182,1443.0883389,1571.9653862,10.6479000,374.4420000,6531.4400000,4.1371100,1.6430200
1642.01,229940491,APC,288.0495190,63.6570610,6.0870000,22.0750000,2459747.9141710,37.4590076,2.8630000,5850.0000000,20.3559000,15.6505000,554.0000000,11.1169000,338.9480000,5730.0000000,4.0981700,1.5000000
1649.01,116608612,APC,85.6632100,35.1857080,-2.5440000,-20.5100000,2459930.5813720,3.4557842,2.3680000,6115.0000000,20.5846000,5261.7800000,2372.0000000,9.1704100,267.6830000,8170.0000000,4.2400000,1.7800000
1656.01,267694283,APC,63.2300180,53.6870500,-2.7320000,-31.5360000,2459935.3134120,1112.7562924,9.3860000,6669.0000000,20.0620000,617.1030000,1388.0000000,8.5494100,106.4770000,6324.0000000,4.3400000,1.2600000
1688.01,121966220,APC,75.7978130,41.7857840,13.3000000,-11.2500000,2459914.9010640,6.7171913,7.5037208,9138.7150710,22.8756580,1148.7011293,1484.8121463,10.8001000,472.7040000,5843.0000000,3.7177000,2.3529000
1708.01,241173474,APC,116.1072910,43.0090790,-0.4370000,-27.3250000,2458853.1211000,11.4419200,3.8410000,5510.0000000,9.6424500,170.2620000,1006.0000000,10.3880000,235.7820000,6259.0000000,4.3400000,1.2400000
1755.01,356978132,APC,273.7817070,56.8781020,9.7510000,-39.9050000,2459681.8619280,60.1849546,2.6180000,3420.0000000,17.6582000,10.4320000,500.0000000,9.9005100,205.9330000,6499.0000000,4.3536200,1.2700000
1769.01,287225295,APC,144.0003440,51.6077840,-16.9520000,48.0010000,2460338.4701410,0.6097554,0.4160000,670.0000000,3.5774000,1086.1900000,1599.0000000,9.4819000,90.6965000,5493.0000000,4.5200000,0.8900000
1784.01,241196395,APC,153.5496830,29.0855240,-35.0350000,-10.4690000,2459633.7590400,2.0937563,0.4330000,1250.0000000,6.7557800,175.6560000,1014.0000000,9.6143300,171.9450000,6435.6900000,4.3758000,1.2300000
180.01,51912829,APC,14.2986390,-67.4961890,22.6710000,16.4950000,2458325.8963920,0.8353899,1.0385175,2265.3656619,10.0508253,17113.2477990,2917.1103577,9.5183000,264.7200000,6082.0000000,3.7765400,2.0701201
1815.01,233720539,APC,276.3792870,63.4881030,1.5790000,0.6320000,2459854.6325690,2.5553320,5.1400000,6550.0000000,20.5128000,4328.4600000,2259.0000000,10.8946000,617.2330000,6454.0000000,3.7700000,2.4800000
182.01,76989773,APC,353.2939980,-35.4639920,-107.2980000,-66.4170000,2458355.0825500,1.7691800,1.7680000,9570.0000000,11.6236000,1670.2100000,1780.0000000,9.6830000,107.3990000,5569.0000000,4.3206500,0.9600000
1822.01,9392421,APC,167.7778480,39.5266730,4.7600000,-22.4410000,2459623.1296010,9.6136615,5.2920000,7000.0000000,14.5701000,192.6230000,1037.0000000,10.7184000,312.5200000,5637.7000000,3.9700000,1.7100000
1831.01,27194429,APC,200.4527350,17.7654350,-23.3850000,-11.3560000,2459665.4646330,0.5553244,0.8336658,353.7045175,4.4033839,44853.3980885,3711.6634241,7.4322900,128.2730000,6864.0000000,3.8993200,2.2681701
1834.01,71612483,APC,202.2942510,31.4019160,-82.0960000,-7.1290000,2459689.7635850,1.2164402,1.8470000,15450.0000000,16.0243000,3477.1300000,2139.0000000,11.4951000,265.9410000,5610.0000000,4.4200600,1.0200000
1837.01,144441148,APC,207.9059110,33.4923900,-50.0010000,-10.0010000,2458931.2507690,5.8182239,1.1943658,1069.5709916,7.8231031,1053.4797410,1453.0357399,8.7084200,159.3750000,5961.2800000,3.8784200,1.9903800
1849.01,23740089,APC,208.0996470,37.7486120,-6.0140000,15.6870000,2459662.4685000,19.7258442,2.5780000,3183.0000000,17.1815000,236.5920000,1092.0000000,10.4985000,189.0900000,5595.0000000,4.3200000,1.1400000
1850.01,149577217,APC,195.7618840,21.9230720,-30.7180000,-2.6330000,2458931.0355900,7.3914300,1.2520000,5880.0000000,16.4641000,59.8747000,774.0000000,10.6260000,171.2050000,5224.6000000,4.2800000,1.1400000
1851.01,378976682,APC,197.7486350,6.6865640,-64.8310000,-23.2510000,2459688.7511180,6.0179742,1.2780000,13910.0000000,10.0342000,16.6492000,562.0000000,13.1369000,274.9420000,4567.0000000,4.5300000,0.7600000
1857.01,180652891,APC,199.6073440,35.9539830,6.7790000,-1.1980000,2459663.2191890,0.7759895,1.1350000,2450.0000000,10.4239000,5149.4700000,2359.0000000,9.2427000,317.5270000,7218.0000000,3.9400000,2.2600000
1865.01,207425203,APC,242.9193580,58.4770010,5.0760000,-10.0720000,2459742.6638440,1.2239134,1.0370000,1400.0000000,7.3884900,861.5400000,1509.0000000,11.8710000,757.5720000,6618.5000000,3.9900000,1.9200000
187.01,260304296,APC,94.6155410,-57.0135010,-8.6830000,6.3890000,2459962.9950910,0.5125807,1.6430775,5691.1921109,19.2342563,22324.2050264,3117.5523161,9.1099010,184.5290000,6725.0000000,4.1953200,1.5519500
1874.01,232641326,APC,281.4492100,56.3817010,8.6530000,1.5880000,2459756.8642890,17.8683999,5.6386950,11197.9522339,19.3843075,242.7182138,1006.6890424,11.5816000,639.0030000,7013.0000000,4.2000000,1.6355900
1877.01,233497719,APC,249.5199830,77.7564010,-4.9240000,39.6260000,2459766.1457430,3.8015910,2.7520000,18950.0000000,14.4297000,395.6970000,1242.0000000,12.8746000,565.5190000,6051.0000000,4.4800000,1.0100000
188.01,280830734,APC,44.5555880,-70.7607860,33.4990000,38.3240000,2460205.8065000,1.1619456,0.5640000,245.0000000,3.6321500,359.1900000,1212.0000000,9.4668000,210.8120000,6340.3000000,4.1800000,1.6600000
189.01,278866211,APC,100.8078110,-55.2443760,-11.0000000,41.2140000,2460192.3105210,2.1940608,1.3300000,5980.0000000,8.0065000,523.7000000,1332.0000000,10.2638000,181.8790000,6054.0000000,4.3941600,1.0400000
1891.01,139198430,APC,345.6309860,-46.0851950,-24.1000000,-2.1000000,2460176.5041880,15.3617729,1.7450000,3321.0000000,14.7142000,51.0242000,,9.3059000,135.2650000,5984.0000000,4.3075200,1.2200000
1967.01,320079492,APC,174.8450280,-65.1762990,-133.2170000,27.0710000,2459359.7631650,0.4262195,0.4500000,570.0000000,5.0947400,3290.2000000,2109.0000000,9.9666000,186.7890000,5343.0000000,4.1000000,1.5000000
1968.01,210445631,APC,212.1932470,-56.3223410,-23.1000000,-9.1000000,2458601.9569600,3.9719500,4.2970000,7670.0000000,13.8556000,1605.2200000,,10.5200000,357.6860000,6535.3000000,4.2000000,1.5500000
1974.01,295562522,APC,171.3783870,-67.7785750,-13.7950000,12.6040000,2459354.3241820,5.4382180,1.6750000,7830.0000000,14.7798000,157.7890000,987.0000000,10.5833000,238.4260000,5342.0000000,4.0900000,1.4900000
1976.01,329888006,APC,212.8466110,-50.0699770,-21.2000000,-5.9000000,2459360.0214060,7.6943096,8.9030000,7400.0000000,,925.4410000,1536.0000000,8.8681000,201.2072000,4956.8000000,,
1985.01,469212332,APC,148.3905620,-58.3760770,1.5800000,-0.8410000,2460027.6349220,30.7864669,3.4660000,8750.0000000,23.8125000,112.1510000,861.0000000,9.9681000,332.3210000,6101.8000000,,2.0500000
1986.01,468997317,APC,144.0237580,-51.7446480,-15.5540000,4.7900000,2459256.9745330,7.5043829,4.8967771,12479.7176832,,177.5290293,930.9730180,8.1350000,,8613.8000000,,
1987.01,349088467,APC,185.3318550,-14.0623790,-28.0970000,-35.8880000,2459575.3110060,2.5861465,1.2990000,2510.0000000,11.9748000,271.8030000,1131.0000000,9.6241800,273.4910000,5635.4000000,3.7100000,2.3300000
1999.01,447206604,APC,156.9951080,-48.4285470,11.3000000,6.1000000,2460033.2858810,7.2133579,2.3450000,8814.0000000,21.2234000,271.5950000,,10.4109000,183.6910000,5843.0000000,4.3300000,1.1600000
2030.01,422656370,APC,349.6720860,68.2992170,28.2470000,0.6520000,2459880.8704980,1.3254567,0.9750000,3365.0000000,14.4076000,776.9330000,1470.0000000,10.8489000,367.3550000,5778.0000000,3.7400000,2.2900000
2032.01,470159478,APC,333.3117320,81.7397290,9.1000000,2.1000000,2459737.5449010,17.0096703,2.2280000,4730.0000000,13.5294000,63.3708000,,10.9293000,293.0000000,6542.0000000,,1.5000000
2038.01,235937532,APC,293.9146010,81.5547910,-2.7760000,-0.5420000,2459913.4356450,3.7321195,5.7380000,4180.0000000,19.1580000,5711.6700000,2421.0000000,10.5352000,603.1720000,6570.0000000,3.6800000,2.8000000
2055.01,322062001,APC,324.2388570,69.2839460,-5.7000000,-1.7000000,2459876.0865760,4.6981739,2.3600000,7417.0000000,31.4340000,1344.6000000,,10.6526000,376.4230000,6782.0000000,,1.6100000
2065.01,356710041,APC,192.5772650,26.1595360,12.5820000,2.6590000,2458932.2914370,,12.5551812,1341.1309509,10.4432710,352.5989492,1105.1977778,9.0024000,234.2940000,5701.4300000,3.5659700,2.7564499
2108.01,347538174,APC,247.4816010,21.4951620,-0.3900000,7.5720000,2459719.3801980,6.8019625,2.9121651,15465.6374163,29.3148832,501.9413628,1207.2104771,10.2230000,251.8840000,6300.0000000,4.2200000,1.4226800
211.01,300293197,APC,110.2797070,-68.5783660,5.8000000,9.3000000,2459175.9966790,6.5627165,1.8223088,2023.6772519,6.0814404,239.6265299,1003.4678766,9.4906000,121.3210000,5873.9700000,4.3518200,1.0887100
212.01,206609630,APC,22.5500240,-59.5832460,-116.9700000,-16.6900000,2458325.4896630,0.3352724,0.7186284,18981.7461868,4.4688000,11198.4790201,2823.7000000,12.5595000,,3332.0000000,4.9496400,0.3000000
2121.01,88996391,APC,263.9443660,36.1964920,-16.5400000,-23.9990000,2459718.9874400,2.3195654,2.0259086,19508.6953576,12.4030722,195.4879901,953.6736208,11.9441000,,4325.6600000,4.4380000,0.6283650
2137.01,23059280,APC,274.1439560,34.1730120,17.9880000,-9.1010000,2459393.0847700,14.1502269,3.8264451,41358.8663923,18.6317683,34.4595552,617.9412206,12.2186000,244.7550000,4882.0000000,4.4565500,0.8739520
2157.01,298495970,APC,261.7177100,25.8492700,-45.6330000,-11.3320000,2459764.1100520,8.4249043,2.3110000,21600.0000000,15.0361000,92.8193000,864.0000000,10.7033000,178.4300000,5756.0000000,4.5100000,0.9300000
2159.01,270515566,APC,264.4540400,47.2302890,-11.1380000,9.7210000,2459755.8984010,10.0509704,6.1290000,8660.0000000,13.5943000,263.0460000,1121.0000000,10.8595000,294.3980000,5844.0000000,4.1600000,1.4100000
2165.01,73560357,APC,281.4057540,16.4153670,1.7470000,3.4030000,2459417.6446160,0.9499997,2.5440000,4200.0000000,14.0337000,14232.8000000,3042.0000000,10.8207000,557.3640000,7421.0000000,4.0000000,2.1600000
2203.01,355600246,APC,325.1045720,-54.0342260,2.2960000,-3.0840000,2459038.6551220,3.0563100,3.0708372,17308.3639678,20.0727443,1530.2971160,1595.1946687,12.3775000,701.7170000,6344.0000000,4.2178700,1.4463800
2218.01,348995212,APC,107.1557040,-64.2328010,-17.6250000,33.3310000,2460014.4551310,0.3456911,0.6480000,2800.0000000,10.1929000,18378.3000000,3243.0000000,11.5547000,330.1500000,6282.0000000,4.3000000,1.0500000
2233.01,421455387,APC,296.9196590,-32.5759660,1.1990000,-24.8460000,2458657.1796500,2.5087600,1.0200000,5600.0000000,18.7769000,324.4130000,1182.0000000,10.9896000,193.0070000,5226.0000000,4.2800000,1.1300000
2234.01,271491157,APC,299.2298270,-35.3971790,9.5890000,-6.8490000,2459036.7304100,2.9161500,1.4810000,2280.0000000,13.4791000,253.3910000,1111.0000000,10.7837000,558.2110000,6103.0000000,3.6400000,2.6900000
2235.01,267093376,APC,41.0915240,-74.7898170,-13.0280000,-10.4820000,2458326.0986800,17.1401200,1.1760000,2180.0000000,8.1425700,5.9317100,434.0000000,10.8988000,405.8170000,6378.0000000,4.1000000,1.6700000
