# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 30 19:37:55 2024
#
# User preference: *
#
# CONSTRAINT:  order by ttv_flag asc
#
# COLUMN pl_name:        Planet Name
# COLUMN disposition:    Archive Disposition
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,disposition,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_trandur,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_dens,ra,dec,sy_dist,sy_vmag
EPIC 201528215.01,CANDIDATE,1,0,6.39916000,1.480,,,,,,,2456816.153600,0,2.4720000,,0.70,,,,,,172.8043040,0.9586366,333.8380000,13.9780000
EPIC 201528215.01,CANDIDATE,1,0,6.39913980,1.850,,,,,,,2456816.154000,0,2.1000000,5210.00,0.80,,,,,,172.8043040,0.9586366,333.8380000,13.9780000
EPIC 201534540.01,CANDIDATE,1,0,2.72273204,,,,,,,,2456814.491832,0,3.5960000,8002.00,2.86,1.93,,1.480,3.81,0.1163,171.6509741,1.0551620,262.8330000,8.1620000
EPIC 201541160.01,CANDIDATE,1,0,15.69514200,2.028,,,,,,,2457921.463551,0,2.9000000,4270.00,0.62,0.74,-0.315,,4.72,,163.0590829,1.1547858,197.4380000,14.2630000
EPIC 201543531.01,CANDIDATE,1,0,2.48038000,1.440,,,,,,,2456812.502400,0,1.8480000,,1.27,,,,,,172.8169888,1.1908377,415.7420000,12.1580000
EPIC 201546136.01,CANDIDATE,1,0,1.96712000,1.730,,,,,,,2456810.593700,0,2.7120000,,0.83,,,,,,169.1468835,1.2284084,410.9840000,14.3840000
EPIC 201546136.01,CANDIDATE,1,0,1.96685790,1.510,,,,,,,2456810.595000,0,2.4000000,5063.00,0.77,,,,,,169.1468835,1.2284084,410.9840000,14.3840000
EPIC 201555883.01,FALSE POSITIVE,1,0,,,,,,,,,,0,,4419.00,0.52,,-0.980,,,,176.0758509,1.3759629,527.6410000,15.4840000
EPIC 201556134.01,CANDIDATE,1,0,12.72674300,1.910,,,,,,,2456822.000000,0,3.8800000,4767.00,0.73,,,,,,177.9249905,1.3796544,393.6120000,14.8820000
EPIC 201561956.01,CANDIDATE,1,0,13.23590000,2.090,,,,,,,2456814.500000,0,2.6400000,,0.92,,,,,,177.2334424,1.4654037,690.8580000,14.3770000
EPIC 201563164.01,CANDIDATE,1,0,0.18746328,217.000,,,,,,,2456810.308000,0,1.0700000,46696.00,17.27,,,,,,177.1399358,1.4831550,141.1660000,17.1899000
EPIC 201565013.01,CANDIDATE,1,0,8.63795000,15.100,,,,,,,2456811.428280,0,2.0472000,,0.44,,,,,,176.9920988,1.5102769,1338.2300000,17.4584000
EPIC 201565013.01,CANDIDATE,1,0,8.63810000,15.990,,,,,536,,2456811.428400,0,,3987.00,0.50,,-0.440,,,,176.9920988,1.5102769,1338.2300000,17.4584000
EPIC 201565013.01,CANDIDATE,1,0,8.63829000,6.810,,,,,,,2456811.427540,0,1.5319200,3960.00,0.44,,,,4.84,,176.9920988,1.5102769,1338.2300000,17.4584000
EPIC 201565013.01,CANDIDATE,1,0,8.63826310,8.530,,,,,,,2456811.428000,0,1.8900000,3720.00,0.50,,,,,,176.9920988,1.5102769,1338.2300000,17.4584000
EPIC 201569483.01,FALSE POSITIVE,1,0,5.79688610,24.200,,,,,,,2456813.313000,0,2.5700000,4721.00,0.72,,,,,,167.1711994,1.5774487,233.5500000,12.3290000
EPIC 201569483.01,FALSE POSITIVE,1,0,5.79687000,27.810,,,,,930,,2456813.313500,0,,5192.00,0.79,,-0.090,,,,167.1711994,1.5774487,233.5500000,12.3290000
EPIC 201577017.01,CANDIDATE,1,0,0.47752520,20.100,,,,,,,2456810.335980,0,2.0472000,,0.52,,,,,,174.6740618,1.6902220,,15.5280000
EPIC 201577112.01,CANDIDATE,1,0,44.39400000,4.070,,,,,,,2456826.007400,0,2.7840000,,0.32,,,,,,177.7087476,1.6919004,199.1620000,18.1000000
EPIC 201577112.01,CANDIDATE,1,0,22.19799200,5.340,,,,,,,2456826.004000,0,2.5400000,3508.00,0.40,,,,,,177.7087476,1.6919004,199.1620000,18.1000000
EPIC 201588420.01,CANDIDATE,1,0,3.29163000,1.170,,,,,,,2456813.481200,0,1.2888000,,0.57,,,,,,170.9344032,1.8638671,219.5620000,13.7330000
EPIC 201588420.01,CANDIDATE,1,0,3.29089980,1.570,,,,,,,2456813.490000,0,0.9600000,4671.00,0.72,,,,,,170.9344032,1.8638671,219.5620000,13.7330000
EPIC 201595106 b,CONFIRMED,1,1,0.87721400,1.300,,,,,,89.200,2457608.489620,0,,5820.00,0.93,,-0.010,,4.60,,183.7203635,1.9681688,232.1000000,11.7460000
EPIC 201595106 b,CONFIRMED,1,1,0.87718300,1.406,,,,,,84.701,2457583.045380,0,,5705.00,0.93,,-0.010,,4.48,,183.7203635,1.9681688,232.1000000,11.7460000
EPIC 201595106 b,CONFIRMED,1,1,0.87703000,1.200,,,,,1874,,2457583.051300,0,1.0008000,5711.17,0.99,1.02,0.018,-0.026,4.45,1.4754,183.7203635,1.9681688,232.1000000,11.7460000
EPIC 201596733.01,CANDIDATE,1,0,2.89652800,1.450,,,,,,,2456812.105780,0,1.5984000,,0.24,,,,,,170.6789065,1.9932080,113.0120000,15.3460000
EPIC 201596733.01,CANDIDATE,1,0,2.89641390,2.450,,,,,,,2456812.108000,0,1.6300000,3547.00,0.42,,,,,,170.6789065,1.9932080,113.0120000,15.3460000
EPIC 201596733.01,CANDIDATE,1,0,2.89607106,,,,,,,,2456815.004860,0,1.8740000,3565.00,0.52,0.52,,-1.398,4.72,5.1050,170.6789065,1.9932080,113.0120000,15.3460000
EPIC 201606542.01,CANDIDATE,1,0,0.44433632,1.010,,,,,,,2456810.638000,0,0.7200000,5208.00,0.80,,,,,,170.3118083,2.1443791,254.5550000,12.1830000
EPIC 201606542.01,CANDIDATE,1,0,0.44437200,1.220,,,,,,86.900,2456817.744450,0,,5540.00,0.82,,0.030,,4.81,,170.3118083,2.1443791,254.5550000,12.1830000
EPIC 201615463 c,CONFIRMED,1,2,3.80464000,1.220,,,,,,,2457621.222700,0,,,,1.07,,,,,185.1880932,2.2823788,476.8820000,12.0810000
EPIC 201617985.01,CANDIDATE,1,0,7.28161000,1.780,,,,,518,,2456812.636600,0,,3742.00,0.49,,-0.080,,,,179.4915118,2.3214970,126.1820000,14.7960000
EPIC 201617985.01,CANDIDATE,1,0,7.28138000,17.000,,,,,,,2456812.639900,0,1.3200000,3784.00,0.40,,,,4.88,,179.4915118,2.3214970,126.1820000,14.7960000
EPIC 201617985.01,CANDIDATE,1,0,7.28131000,1.900,,,,,,,2456812.640000,0,1.3100000,3748.00,0.51,,,,,,179.4915118,2.3214970,126.1820000,14.7960000
EPIC 201617985.01,CANDIDATE,1,0,7.28076000,2.600,,,,,,,2456812.640500,0,1.8720000,,0.40,,,,,,179.4915118,2.3214970,126.1820000,14.7960000
EPIC 201617985.01,CANDIDATE,1,0,7.28116000,1.790,,,,,,88.280,2456812.641000,0,,3726.00,0.54,0.54,,-1.293,4.70,4.7741,179.4915118,2.3214970,126.1820000,14.7960000
EPIC 201619647.01,CANDIDATE,1,0,4.58328000,2.210,,,,,,,2456813.603300,0,2.2080000,,0.55,,,,,,167.4476762,2.3473081,203.2230000,15.3750000
EPIC 201619647.02,CANDIDATE,1,0,1.65336000,1.510,,,,,,,2456810.847300,0,1.6080000,,0.55,,,,,,167.4476762,2.3473081,203.2230000,15.3750000
EPIC 201626686.01,CANDIDATE,1,0,5.28130579,,,,,,,,2456817.633963,0,3.5520000,6161.41,2.67,1.17,0.047,0.966,3.65,0.0867,169.4469645,2.4560803,649.9350000,11.0830000
EPIC 201626686.01,CANDIDATE,1,0,5.28081000,10.900,,,,,,,2456812.353900,0,3.2690400,6227.00,3.01,,,,3.68,,169.4469645,2.4560803,649.9350000,11.0830000
EPIC 201631267.01,CANDIDATE,1,0,440.00000000,16.300,,,,,,,2456829.674000,0,,4600.00,0.85,,,,,,173.6964045,2.5270664,1217.9600000,12.9860000
EPIC 201635132.01,CANDIDATE,1,0,30.00000000,22.800,,,,,,,2456826.985000,0,,3400.00,0.89,,,,,,170.1327528,2.5869200,229.9540000,15.8400000
EPIC 201635132.02,CANDIDATE,1,0,,24.900,,,,,,,2456826.985240,0,5.1600000,,0.60,,,,,,170.1327528,2.5869200,229.9540000,15.8400000
EPIC 201639576.01,CANDIDATE,1,0,7.65553300,2.328,,,,,,,2457910.083781,0,3.0000000,5114.00,0.75,1.00,-0.144,,4.69,,166.0603718,2.6557881,495.7070000,14.6990000
EPIC 201649426.01,FALSE POSITIVE,1,0,27.77045000,32.790,,,,,441,,2456821.348200,0,,5086.00,8.15,,-0.170,,,,177.2343917,2.8075643,252.3830000,13.5950000
EPIC 201649426.01,FALSE POSITIVE,1,0,27.77038800,25.100,,,,,,,2456821.348000,0,3.1400000,4598.00,0.71,,,,,,177.2343917,2.8075643,252.3830000,13.5950000
EPIC 201650711.01,CANDIDATE,1,0,0.25967056,0.742,,,,,,,2456810.441000,0,0.5000000,3982.00,0.59,,,,,,172.0443891,2.8267296,,12.9200000
EPIC 201650711.01,CANDIDATE,1,0,0.25966900,0.770,,,,,,82.100,2456885.225820,0,,4340.00,0.69,,-0.810,,4.25,,172.0443891,2.8267296,,12.9200000
EPIC 201650711.02,CANDIDATE,1,0,5.54583000,0.441,,,,,,,2456814.894300,0,2.0880000,,0.34,,,,,,172.0443891,2.8267296,,12.9200000
EPIC 201654498.01,CANDIDATE,1,0,18.45020000,2.520,,,,,,,2456816.961000,0,3.7200000,,0.72,,,,,,171.5176470,2.8867875,340.4330000,15.2300000
EPIC 201663879.02,CANDIDATE,1,1,35.62100000,1.890,,,,,420,89.770,2457911.974000,0,,5440.00,0.90,0.95,,,4.51,,166.8010058,3.0399357,209.0710000,12.2130000
EPIC 201666578.01,CANDIDATE,1,0,4.13330000,1.200,,,,,,,2456813.132600,0,1.7040000,,0.31,,,,,,177.1019945,3.0853526,114.6750000,16.2480000
