# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 30 19:47:22 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepler_name,koi_disposition,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag
11463211,,FALSE POSITIVE,1.506354090,0,0.8600,1.51550,2.2117e+03,0.049899,0.84722,4.53,0.0250,79.38,1452.0,1054.12,4.670000,181.10,1,882,1,5714.00,4.563,-0.2000,0.8310,0.9260,,295.665220,49.351009,15.525
11465813,,FALSE POSITIVE,670.645531000,0,0.7010,53.41200,1.8091e+04,0.131705,0.02605,14.14,1.5155,89.53,196.0,0.35,85.240000,642.70,1,3,1,5520.00,4.466,0.4800,0.9830,1.0300,,296.698610,49.316479,15.207
11493732,,FALSE POSITIVE,61.256362800,0,1.2480,7.63300,5.1233e+03,0.334628,0.12411,39.87,0.3137,87.54,505.0,15.43,29.100000,85.30,1,13,1,6144.00,4.402,0.0000,1.0910,1.0930,,283.725920,49.479519,15.250
11507101,Kepler-672 b,CONFIRMED,38.377548600,0,0.4680,5.58800,7.2420e+02,0.024901,1.40588,2.82,0.2163,89.44,529.0,18.53,47.800000,34.70,1,37,1,5481.00,4.369,0.1600,1.0360,0.9150,,291.722020,49.480869,15.172
10910878,Kepler-229 d,CONFIRMED,41.197255020,0,0.0450,4.62970,2.2139e+03,0.041693,3.94710,3.86,0.2170,89.96,439.0,8.76,70.750000,51.20,3,26,2,5031.00,4.485,0.1600,0.8480,0.8010,,286.999480,48.375790,15.841
10910878,Kepler-229 b,CONFIRMED,6.252962249,0,0.1050,2.58190,1.0369e+03,0.028604,3.28707,2.65,0.0617,89.68,823.0,108.30,18.940000,47.10,3,167,3,5031.00,4.485,0.1600,0.8480,0.8010,,286.999480,48.375790,15.841
10987985,Kepler-665 b,CONFIRMED,16.013084190,0,0.7990,3.25540,1.1219e+03,0.034369,1.10942,3.10,0.1148,88.14,593.0,29.31,24.700000,33.20,1,65,1,5015.00,4.499,0.1000,0.8260,0.7850,,297.025630,48.478588,15.390
11018648,Kepler-230 b,CONFIRMED,32.628766720,0,0.0210,4.79710,1.8048e+03,0.038520,2.79093,3.36,0.1889,89.98,506.0,15.55,53.950000,80.00,2,34,1,5586.00,4.560,-0.3000,0.7980,0.8440,,285.718540,48.505859,15.082
11018648,Kepler-230 c,CONFIRMED,91.773286200,0,0.6060,6.47300,6.5200e+02,0.024320,1.60558,2.12,0.3764,89.61,359.0,3.92,89.400000,19.10,2,11,2,5586.00,4.560,-0.3000,0.7980,0.8440,,285.718540,48.505859,15.082
11138155,Kepler-1976 b,CONFIRMED,4.959319244,0,0.8310,2.22739,9.8020e+03,0.103379,1.46169,12.21,0.0565,86.15,1103.0,349.40,12.386000,696.50,1,269,1,5712.00,4.359,0.1000,1.0820,0.9760,,292.167050,48.727589,15.263
11152159,,FALSE POSITIVE,2.701287801,0,1.0160,3.38270,8.6040e+02,0.065840,0.02818,6.54,0.0365,62.69,1222.0,527.81,2.220000,48.30,1,387,1,5550.00,4.468,-0.0400,0.9100,0.8890,,297.923650,48.777321,15.540
11153539,Kepler-666 b,CONFIRMED,4.498765110,0,0.3120,3.73620,4.6000e+02,0.019817,0.67106,2.10,0.0542,88.00,1133.0,389.62,8.950000,29.50,1,238,1,6075.00,4.486,-0.1200,0.9690,1.0480,,298.456850,48.791592,15.395
11242721,,FALSE POSITIVE,19.651209505,0,0.7230,5.25140,1.1766e+04,0.106953,0.67559,12.42,0.1433,88.27,730.0,67.03,23.980000,513.40,1,59,1,6074.00,4.391,-0.1200,1.0630,1.0140,,291.093900,48.933842,15.536
9579641,Kepler-105 b,CONFIRMED,5.412203927,0,0.7870,2.94720,6.0160e+02,0.024775,0.51087,2.94,0.0591,85.12,1093.0,337.68,9.250000,166.70,3,244,1,5779.00,4.339,-0.0600,1.0870,0.9410,,287.887330,46.276241,12.791
11304958,Kepler-667 b,CONFIRMED,41.439586620,0,0.3550,10.59890,2.7931e+03,0.048175,0.28189,5.50,0.2288,89.31,516.0,16.72,29.470000,141.10,1,33,1,5468.00,4.367,0.2200,1.0460,0.9300,,295.555050,49.017342,15.400
11391957,Kepler-668 b,CONFIRMED,8.353895230,0,0.0230,2.25140,1.0416e+03,0.029305,6.73215,2.52,0.0768,89.95,790.0,91.90,29.180000,43.40,1,127,1,5592.00,4.582,-0.2800,0.7870,0.8620,,285.499240,49.277351,15.317
11403044,Kepler-669 b,CONFIRMED,4.125543472,0,0.5970,3.17440,1.4873e+03,0.036796,0.67162,4.43,0.0529,85.95,1243.0,565.35,8.450000,128.60,1,323,1,6174.00,4.417,0.1000,1.1030,1.1620,,291.936160,49.253979,15.506
11414511,Kepler-670 b,CONFIRMED,2.816504904,0,0.1050,2.50587,1.6814e+04,0.117059,2.09079,12.21,0.0383,89.37,1219.0,521.13,9.571000,1406.80,1,474,1,5532.00,4.452,0.1400,0.9550,0.9410,,297.015470,49.225288,15.052
11442465,,FALSE POSITIVE,33.933734470,0,0.8120,14.56100,8.5037e+03,0.095386,0.03710,7.34,0.1881,86.45,430.0,8.11,13.120000,236.10,1,31,1,5040.00,4.628,-0.2400,0.7050,0.7820,,284.172330,49.360722,15.716
12110942,Kepler-680 b,CONFIRMED,3.689920099,0,0.1510,2.65570,4.2670e+02,0.018878,1.70798,1.89,0.0469,89.19,1147.0,408.99,10.710000,35.60,1,360,1,5880.00,4.518,-0.0600,0.9170,1.0100,,291.622410,50.618240,15.242
12366084,Kepler-232 b,CONFIRMED,4.431238488,0,0.4050,3.15000,1.0109e+03,0.029330,1.01996,3.25,0.0529,87.72,1104.0,351.23,10.190000,71.10,3,302,1,5714.00,4.428,0.1600,1.0150,1.0070,,295.816160,51.121738,15.367
12366084,Kepler-232 c,CONFIRMED,11.379369860,0,0.9110,2.62550,1.0235e+03,0.035628,0.63438,3.95,0.0993,86.80,806.0,99.68,16.310000,37.90,3,109,2,5714.00,4.428,0.1600,1.0150,1.0070,,295.816160,51.121738,15.367
12404086,Kepler-681 b,CONFIRMED,26.394328970,0,0.6020,3.57300,1.5109e+03,0.036810,2.93923,3.07,0.1635,89.28,489.0,13.49,47.700000,48.20,1,51,1,5129.00,4.595,0.0200,0.7630,0.8460,,289.399720,51.250320,15.234
8395660,Kepler-106 c,CONFIRMED,13.570782810,0,0.8660,3.35390,5.1170e+02,0.023908,0.49865,2.64,0.1096,87.07,785.0,89.61,16.930000,88.40,4,101,1,5854.00,4.406,-0.1200,1.0120,0.9510,,300.863980,44.337551,12.882
9579641,Kepler-105 c,CONFIRMED,7.125943870,0,0.8980,3.00140,1.9240e+02,0.015120,0.23879,1.79,0.0711,84.02,997.0,233.31,8.620000,47.10,3,181,2,5779.00,4.339,-0.0600,1.0870,0.9410,,287.887330,46.276241,12.791
11656840,,FALSE POSITIVE,7.442652004,0,0.1370,2.30780,2.4446e+04,0.143936,7.48712,15.03,0.0742,89.72,967.0,206.78,27.990000,835.60,1,180,1,6108.00,4.469,-0.3000,0.9560,0.9810,,288.986820,49.733742,15.270
11754553,Kepler-52 c,CONFIRMED,16.384899880,0,0.0010,3.02490,1.1271e+03,0.029758,5.45380,2.00,0.1084,90.00,433.0,8.35,42.620000,28.90,3,65,2,4126.00,4.661,0.0400,0.6150,0.6330,,286.738040,49.975750,15.095
11754553,Kepler-52 b,CONFIRMED,7.877416300,0,0.0410,2.08050,1.3061e+03,0.032090,8.09685,2.16,0.0665,89.92,553.0,22.18,29.840000,38.70,3,135,1,4126.00,4.661,0.0400,0.6150,0.6330,,286.738040,49.975750,15.095
11754553,Kepler-52 d,CONFIRMED,36.445400100,0,0.0280,4.00700,1.1223e+03,0.029681,5.21237,1.99,0.1847,89.98,332.0,2.88,71.530000,21.70,3,27,3,4126.00,4.661,0.0400,0.6150,0.6330,,286.738040,49.975750,15.095
11812062,Kepler-673 b,CONFIRMED,3.728732147,0,0.5580,2.68300,5.2265e+03,0.068178,1.24118,6.02,0.0455,86.70,1023.0,258.34,9.700000,345.20,1,357,1,5497.00,4.577,-0.1000,0.8090,0.9070,,290.785740,50.054119,15.523
11818800,,CANDIDATE,40.419503700,0,0.9110,3.36200,6.2560e+03,0.088069,1.89549,7.51,0.2062,89.05,467.0,11.29,54.700000,36.90,1,36,1,5446.00,4.507,-0.5400,0.7810,0.7140,,294.316860,50.080231,15.487
11853255,Kepler-674 b,CONFIRMED,2.243380573,0,0.9150,1.11960,8.2170e+02,0.032248,1.50915,1.99,0.0280,82.88,822.0,107.60,7.380000,38.90,1,472,1,4149.00,4.698,-0.3200,0.5640,0.5780,,285.176210,50.149818,15.135
11909839,,FALSE POSITIVE,10.405998015,0,0.3240,6.50360,1.4489e+04,0.111248,0.38489,11.23,0.0855,88.57,833.0,113.94,13.012000,745.20,1,117,1,5746.00,4.393,-0.5400,0.9240,0.7700,,289.235530,50.241001,15.562
11918099,Kepler-675 b,CONFIRMED,2.337437946,0,0.2800,1.99820,9.7120e+02,0.027998,2.41093,2.34,0.0325,88.19,1070.0,311.16,8.860000,82.40,2,578,1,5005.00,4.595,0.1400,0.7650,0.8500,,293.833310,50.230350,15.334
11918099,,CANDIDATE,7.240661200,0,1.1980,0.55800,5.5640e+02,0.232818,8.66412,19.45,0.0692,87.62,734.0,68.63,28.800000,13.70,2,168,2,5005.00,4.595,0.1400,0.7650,0.8500,,293.833310,50.230350,15.334
9579641,,CANDIDATE,3.435916310,0,0.6240,3.13300,2.3200e+01,0.004612,0.47024,0.55,0.0437,84.62,1272.0,617.61,6.650000,8.70,3,357,3,5779.00,4.339,-0.0600,1.0870,0.9410,,287.887330,46.276241,12.791
11923270,Kepler-676 b,CONFIRMED,11.598222330,0,0.6790,2.52370,2.8045e+03,0.051287,3.14915,2.65,0.0798,88.62,396.0,5.82,28.200000,71.00,1,115,1,3688.00,4.790,0.0000,0.4730,0.5030,,296.221950,50.287220,15.937
11960862,Kepler-677 b,CONFIRMED,6.575315881,0,0.3900,4.30840,2.7933e+03,0.049152,0.64392,5.31,0.0670,88.03,1015.0,251.38,11.370000,221.10,1,205,1,5992.00,4.415,-0.3200,0.9890,0.9270,,290.098050,50.321609,15.312
12020329,Kepler-678 b,CONFIRMED,7.275040844,0,0.5470,7.53770,3.0010e+03,0.051358,0.10578,4.86,0.0732,85.29,833.0,113.64,6.660000,312.10,1,188,1,5485.00,4.556,0.2100,0.8670,0.9860,,295.455290,50.494560,15.080
12066335,Kepler-231 c,CONFIRMED,19.271538920,0,0.0310,2.75940,1.2198e+03,0.031585,8.48241,1.93,0.1171,89.97,393.0,5.66,55.020000,37.10,2,67,1,4077.00,4.702,-0.2400,0.5600,0.5760,,293.973360,50.531910,15.385
12066335,Kepler-231 b,CONFIRMED,10.065243170,0,0.6280,1.36900,1.0533e+03,0.031153,18.09666,1.91,0.0760,89.22,488.0,13.43,45.900000,30.30,2,126,2,4077.00,4.702,-0.2400,0.5600,0.5760,,293.973360,50.531910,15.385
12070811,Kepler-679 b,CONFIRMED,12.393565100,0,0.8830,3.88960,9.1660e+02,0.032536,0.27483,2.66,0.0983,86.13,677.0,49.68,13.070000,35.80,1,107,1,5557.00,4.603,-0.4000,0.7500,0.8320,,296.021330,50.567780,15.505
8395660,Kepler-106 e,CONFIRMED,43.844397210,0,0.8520,6.80200,6.1520e+02,0.025934,0.22039,2.87,0.2395,88.27,531.0,18.77,28.200000,83.70,4,29,2,5854.00,4.406,-0.1200,1.0120,0.9510,,300.863980,44.337551,12.882
3120431,,FALSE POSITIVE,3.341913228,0,1.2130,3.81300,7.2530e+02,0.243351,0.01791,21.55,0.0415,56.44,1032.0,268.67,2.190000,39.00,1,780,1,5295.00,4.551,-0.0200,0.8110,0.8530,,292.315950,38.270290,15.629
3246984,,FALSE POSITIVE,1.626630225,0,1.2600,2.11450,1.6206e+03,0.305244,0.09631,32.43,0.0260,58.03,1547.0,1355.88,2.380000,103.60,1,664,1,5735.00,4.410,-0.1800,0.9730,0.8890,,294.368190,38.310280,15.279
3342970,Kepler-234 b,CONFIRMED,2.711504086,0,0.0230,3.00990,8.3750e+02,0.026533,0.91618,3.12,0.0401,89.81,1420.0,960.79,7.088000,64.50,2,494,1,6214.00,4.442,0.0700,1.0760,1.1690,,291.653530,38.494659,15.541
3342970,Kepler-234 c,CONFIRMED,7.212037480,0,0.0120,4.04910,9.5040e+02,0.028255,0.99867,3.32,0.0770,89.95,1025.0,260.58,14.003000,51.50,2,165,2,6214.00,4.442,0.0700,1.0760,1.1690,,291.653530,38.494659,15.541
12459725,,FALSE POSITIVE,14.179818700,0,0.1601,2.50500,4.5990e+02,0.019561,7.76746,1.88,0.1137,89.95,711.0,60.35,43.540000,11.20,1,,,5799.00,4.539,-0.1000,0.8780,0.9750,,291.044800,51.321671,15.727
12470844,Kepler-233 b,CONFIRMED,8.472379110,0,0.0220,2.72450,1.1235e+03,0.030119,3.86328,2.59,0.0778,89.95,751.0,75.44,24.470000,47.60,2,159,1,5354.00,4.587,-0.0800,0.7880,0.8840,,296.366520,51.319519,15.339
12470844,Kepler-233 c,CONFIRMED,60.418936900,0,0.0940,5.03900,9.3130e+02,0.027422,4.26444,2.36,0.2884,89.94,390.0,5.49,93.710000,20.10,2,22,2,5354.00,4.587,-0.0800,0.7880,0.8840,,296.366520,51.319519,15.339
12644822,Kepler-682 b,CONFIRMED,12.611904345,0,0.5500,5.14970,6.1056e+03,0.073758,0.61222,7.40,0.1058,88.17,753.0,76.15,17.270000,277.20,1,104,1,5795.00,4.508,-0.0200,0.9190,0.9920,,289.112210,51.737381,15.140
2440757,,FALSE POSITIVE,1.433769925,0,1.2680,1.88680,1.9763e+03,0.318591,0.13720,46.58,0.0256,58.99,1920.0,3209.29,2.460000,112.60,1,481,1,6017.00,4.220,0.0200,1.3390,1.0830,,290.843690,37.728828,15.122
2445129,,FALSE POSITIVE,10.318723010,0,1.2150,3.83600,8.7170e+02,0.247006,0.03681,28.59,0.0944,78.15,876.0,139.26,5.920000,38.20,1,130,1,5927.00,4.409,0.0700,1.0600,1.0500,,291.848910,37.713501,15.065
2713049,Kepler-683 b,CONFIRMED,2.539183147,0,0.2380,2.42820,3.8210e+02,0.017724,1.46261,2.06,0.0355,88.28,1332.0,743.09,7.930000,38.90,1,528,1,5519.00,4.350,0.1400,1.0620,0.9210,,291.439970,37.905659,15.026
3114167,Kepler-684 b,CONFIRMED,6.770300385,0,0.8380,2.08440,1.3040e+03,0.037414,1.45164,2.77,0.0640,86.84,812.0,102.87,15.210000,50.80,1,200,1,5653.00,4.656,-0.8400,0.6790,0.7670,,290.870510,38.273628,15.591
3114661,,FALSE POSITIVE,0.444291966,0,1.2580,2.07920,1.0967e+04,0.396105,0.42351,27.51,0.0101,39.97,1836.0,2706.26,1.641000,299.70,1,1466,1,5255.00,4.678,-0.7200,0.6360,0.7090,,290.996890,38.284920,15.748
3115833,,CANDIDATE,10.181584004,0,0.9200,3.50890,5.7411e+03,0.084708,0.38059,7.73,0.0884,85.87,812.0,102.91,12.776000,183.60,1,129,1,5988.00,4.541,-0.5200,0.8360,0.8850,,291.281950,38.241669,15.657
4139816,Kepler-235 d,CONFIRMED,20.060363360,0,0.5560,3.32030,1.4947e+03,0.036455,3.09445,1.96,0.1150,89.21,361.0,4.00,40.400000,35.20,4,59,2,3950.00,4.754,-0.4600,0.4930,0.5020,,286.079130,39.278320,15.954
4139816,Kepler-235 e,CONFIRMED,46.184203900,0,0.0130,4.75800,1.3947e+03,0.033974,3.99779,1.83,0.2005,89.99,273.0,1.32,76.670000,26.00,4,25,3,3950.00,4.754,-0.4600,0.4930,0.5020,,286.079130,39.278320,15.954
8395660,Kepler-106 d,CONFIRMED,23.980085400,0,0.9500,5.35100,1.0400e+02,0.011879,0.05654,1.31,0.1602,85.45,649.0,41.94,11.980000,17.10,4,56,4,5854.00,4.406,-0.1200,1.0120,0.9510,,300.863980,44.337551,12.882
4139816,Kepler-235 c,CONFIRMED,7.825021680,0,0.7080,2.18600,5.2080e+02,0.022312,2.54508,1.20,0.0614,87.99,494.0,14.05,20.200000,15.90,4,154,4,3950.00,4.754,-0.4600,0.4930,0.5020,,286.079130,39.278320,15.954
4275191,Kepler-688 b,CONFIRMED,3.895936525,0,0.5240,2.31110,8.5448e+03,0.086890,2.31292,7.34,0.0460,87.56,1005.0,241.62,12.290000,370.80,1,275,1,5557.00,4.592,-0.3000,0.7740,0.8660,,294.655240,39.308361,15.725
4476123,Kepler-689 b,CONFIRMED,22.366464660,0,0.4000,5.22800,9.8680e+02,0.028938,1.12517,2.32,0.1449,89.26,536.0,19.45,31.000000,32.10,1,48,1,5395.00,4.615,-0.3400,0.7340,0.8210,,294.710630,39.521740,15.583
