# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  6 20:27:19 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_sma,koi_teq,koi_insol,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag
10464078,K00743.01,,FALSE POSITIVE,19.403937760,12.21550,7.18,0.1230,523.0,17.69,5043.00,4.591,-0.5400,0.6800,0.6570,15.487
10480982,K00744.01,,FALSE POSITIVE,19.221388942,4.79843,49.29,0.1417,698.0,55.97,6117.00,4.496,-0.2200,0.9470,1.0250,15.341
10485250,K00745.01,,FALSE POSITIVE,16.469837740,9.43780,7.94,0.1147,595.0,29.61,5152.00,4.517,-0.2000,0.7860,0.7410,15.788
10526549,K00746.01,Kepler-660 b,CONFIRMED,9.273581730,3.28750,2.47,0.0759,649.0,41.85,4856.00,4.583,-0.3000,0.6960,0.6760,15.302
10583066,K00747.01,Kepler-661 b,CONFIRMED,6.029303290,1.58210,2.85,0.0585,678.0,50.04,4537.00,4.648,0.2100,0.6720,0.7610,15.784
10583180,K00748.01,,FALSE POSITIVE,2.696370652,3.61290,1.58,0.0349,1066.0,305.34,4989.00,4.504,0.1000,0.8190,0.7810,15.269
10601284,K00749.01,Kepler-226 c,CONFIRMED,5.349553819,3.02780,2.55,0.0563,919.0,168.99,5185.00,4.440,0.1600,0.9100,0.8310,15.416
10601284,K00749.02,Kepler-226 b,CONFIRMED,3.941052210,2.59840,1.70,0.0460,1018.0,253.15,5185.00,4.440,0.1600,0.9100,0.8310,15.416
10601284,K00749.03,Kepler-226 d,CONFIRMED,8.109048070,3.59600,1.30,0.0743,800.0,97.03,5185.00,4.440,0.1600,0.9100,0.8310,15.416
2306756,K00113.01,,FALSE POSITIVE,386.603052800,6.80570,41.50,1.0719,297.0,1.84,5543.00,4.081,0.4400,1.5800,1.1030,12.394
10662202,K00750.01,Kepler-662 b,CONFIRMED,21.676991930,3.45550,2.95,0.1408,530.0,18.64,4954.00,4.500,0.1800,0.8280,0.7910,15.377
10682541,K00751.01,Kepler-663 b,CONFIRMED,4.996779680,2.17170,2.78,0.0559,917.0,166.95,5339.00,4.552,0.1800,0.8470,0.9310,15.861
11460018,K00769.01,Kepler-671 b,CONFIRMED,4.280963604,2.87500,2.30,0.0503,1012.0,247.87,5644.00,4.564,-0.1400,0.8310,0.9280,15.356
11463211,K00770.01,,FALSE POSITIVE,1.506354090,1.51550,4.53,0.0250,1452.0,1054.12,5714.00,4.563,-0.2000,0.8310,0.9260,15.525
11465813,K00771.01,,FALSE POSITIVE,670.645531000,53.41200,14.14,1.5155,196.0,0.35,5520.00,4.466,0.4800,0.9830,1.0300,15.207
11493732,K00772.01,,FALSE POSITIVE,61.256362800,7.63300,39.87,0.3137,505.0,15.43,6144.00,4.402,0.0000,1.0910,1.0930,15.250
11507101,K00773.01,Kepler-672 b,CONFIRMED,38.377548600,5.58800,2.82,0.2163,529.0,18.53,5481.00,4.369,0.1600,1.0360,0.9150,15.172
10910878,K00757.02,Kepler-229 d,CONFIRMED,41.197255020,4.62970,3.86,0.2170,439.0,8.76,5031.00,4.485,0.1600,0.8480,0.8010,15.841
10910878,K00757.03,Kepler-229 b,CONFIRMED,6.252962249,2.58190,2.65,0.0617,823.0,108.30,5031.00,4.485,0.1600,0.8480,0.8010,15.841
10987985,K00758.01,Kepler-665 b,CONFIRMED,16.013084190,3.25540,3.10,0.1148,593.0,29.31,5015.00,4.499,0.1000,0.8260,0.7850,15.390
11018648,K00759.01,Kepler-230 b,CONFIRMED,32.628766720,4.79710,3.36,0.1889,506.0,15.55,5586.00,4.560,-0.3000,0.7980,0.8440,15.082
11018648,K00759.02,Kepler-230 c,CONFIRMED,91.773286200,6.47300,2.12,0.3764,359.0,3.92,5586.00,4.560,-0.3000,0.7980,0.8440,15.082
11138155,K00760.01,Kepler-1976 b,CONFIRMED,4.959319244,2.22739,12.21,0.0565,1103.0,349.40,5712.00,4.359,0.1000,1.0820,0.9760,15.263
11152159,K00761.01,,FALSE POSITIVE,2.701287801,3.38270,6.54,0.0365,1222.0,527.81,5550.00,4.468,-0.0400,0.9100,0.8890,15.540
11153539,K00762.01,Kepler-666 b,CONFIRMED,4.498765110,3.73620,2.10,0.0542,1133.0,389.62,6075.00,4.486,-0.1200,0.9690,1.0480,15.395
11242721,K00763.01,,FALSE POSITIVE,19.651209505,5.25140,12.42,0.1433,730.0,67.03,6074.00,4.391,-0.1200,1.0630,1.0140,15.536
9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412203927,2.94720,2.94,0.0591,1093.0,337.68,5779.00,4.339,-0.0600,1.0870,0.9410,12.791
11304958,K00764.01,Kepler-667 b,CONFIRMED,41.439586620,10.59890,5.50,0.2288,516.0,16.72,5468.00,4.367,0.2200,1.0460,0.9300,15.400
11391957,K00765.01,Kepler-668 b,CONFIRMED,8.353895230,2.25140,2.52,0.0768,790.0,91.90,5592.00,4.582,-0.2800,0.7870,0.8620,15.317
11403044,K00766.01,Kepler-669 b,CONFIRMED,4.125543472,3.17440,4.43,0.0529,1243.0,565.35,6174.00,4.417,0.1000,1.1030,1.1620,15.506
11414511,K00767.01,Kepler-670 b,CONFIRMED,2.816504904,2.50587,12.21,0.0383,1219.0,521.13,5532.00,4.452,0.1400,0.9550,0.9410,15.052
11442465,K00768.01,,FALSE POSITIVE,33.933734470,14.56100,7.34,0.1881,430.0,8.11,5040.00,4.628,-0.2400,0.7050,0.7820,15.716
12110942,K00786.01,Kepler-680 b,CONFIRMED,3.689920099,2.65570,1.89,0.0469,1147.0,408.99,5880.00,4.518,-0.0600,0.9170,1.0100,15.242
12366084,K00787.01,Kepler-232 b,CONFIRMED,4.431238488,3.15000,3.25,0.0529,1104.0,351.23,5714.00,4.428,0.1600,1.0150,1.0070,15.367
12366084,K00787.02,Kepler-232 c,CONFIRMED,11.379369860,2.62550,3.95,0.0993,806.0,99.68,5714.00,4.428,0.1600,1.0150,1.0070,15.367
12404086,K00788.01,Kepler-681 b,CONFIRMED,26.394328970,3.57300,3.07,0.1635,489.0,13.49,5129.00,4.595,0.0200,0.7630,0.8460,15.234
8395660,K00116.01,Kepler-106 c,CONFIRMED,13.570782810,3.35390,2.64,0.1096,785.0,89.61,5854.00,4.406,-0.1200,1.0120,0.9510,12.882
9579641,K00115.02,Kepler-105 c,CONFIRMED,7.125943870,3.00140,1.79,0.0711,997.0,233.31,5779.00,4.339,-0.0600,1.0870,0.9410,12.791
11656840,K00774.01,,FALSE POSITIVE,7.442652004,2.30780,15.03,0.0742,967.0,206.78,6108.00,4.469,-0.3000,0.9560,0.9810,15.270
11754553,K00775.01,Kepler-52 c,CONFIRMED,16.384899880,3.02490,2.00,0.1084,433.0,8.35,4126.00,4.661,0.0400,0.6150,0.6330,15.095
11754553,K00775.02,Kepler-52 b,CONFIRMED,7.877416300,2.08050,2.16,0.0665,553.0,22.18,4126.00,4.661,0.0400,0.6150,0.6330,15.095
11754553,K00775.03,Kepler-52 d,CONFIRMED,36.445400100,4.00700,1.99,0.1847,332.0,2.88,4126.00,4.661,0.0400,0.6150,0.6330,15.095
11812062,K00776.01,Kepler-673 b,CONFIRMED,3.728732147,2.68300,6.02,0.0455,1023.0,258.34,5497.00,4.577,-0.1000,0.8090,0.9070,15.523
11818800,K00777.01,,CANDIDATE,40.419503700,3.36200,7.51,0.2062,467.0,11.29,5446.00,4.507,-0.5400,0.7810,0.7140,15.487
11853255,K00778.01,Kepler-674 b,CONFIRMED,2.243380573,1.11960,1.99,0.0280,822.0,107.60,4149.00,4.698,-0.3200,0.5640,0.5780,15.135
11909839,K00779.01,,FALSE POSITIVE,10.405998015,6.50360,11.23,0.0855,833.0,113.94,5746.00,4.393,-0.5400,0.9240,0.7700,15.562
11918099,K00780.01,Kepler-675 b,CONFIRMED,2.337437946,1.99820,2.34,0.0325,1070.0,311.16,5005.00,4.595,0.1400,0.7650,0.8500,15.334
11918099,K00780.02,,CANDIDATE,7.240661200,0.55800,19.45,0.0692,734.0,68.63,5005.00,4.595,0.1400,0.7650,0.8500,15.334
9579641,K00115.03,,CANDIDATE,3.435916310,3.13300,0.55,0.0437,1272.0,617.61,5779.00,4.339,-0.0600,1.0870,0.9410,12.791
11923270,K00781.01,Kepler-676 b,CONFIRMED,11.598222330,2.52370,2.65,0.0798,396.0,5.82,3688.00,4.790,0.0000,0.4730,0.5030,15.937
11960862,K00782.01,Kepler-677 b,CONFIRMED,6.575315881,4.30840,5.31,0.0670,1015.0,251.38,5992.00,4.415,-0.3200,0.9890,0.9270,15.312
12020329,K00783.01,Kepler-678 b,CONFIRMED,7.275040844,7.53770,4.86,0.0732,833.0,113.64,5485.00,4.556,0.2100,0.8670,0.9860,15.080
12066335,K00784.01,Kepler-231 c,CONFIRMED,19.271538920,2.75940,1.93,0.1171,393.0,5.66,4077.00,4.702,-0.2400,0.5600,0.5760,15.385
12066335,K00784.02,Kepler-231 b,CONFIRMED,10.065243170,1.36900,1.91,0.0760,488.0,13.43,4077.00,4.702,-0.2400,0.5600,0.5760,15.385
12070811,K00785.01,Kepler-679 b,CONFIRMED,12.393565100,3.88960,2.66,0.0983,677.0,49.68,5557.00,4.603,-0.4000,0.7500,0.8320,15.505
8395660,K00116.02,Kepler-106 e,CONFIRMED,43.844397210,6.80200,2.87,0.2395,531.0,18.77,5854.00,4.406,-0.1200,1.0120,0.9510,12.882
3120431,K00798.01,,FALSE POSITIVE,3.341913228,3.81300,21.55,0.0415,1032.0,268.67,5295.00,4.551,-0.0200,0.8110,0.8530,15.629
3246984,K00799.01,,FALSE POSITIVE,1.626630225,2.11450,32.43,0.0260,1547.0,1355.88,5735.00,4.410,-0.1800,0.9730,0.8890,15.279
3342970,K00800.01,Kepler-234 b,CONFIRMED,2.711504086,3.00990,3.12,0.0401,1420.0,960.79,6214.00,4.442,0.0700,1.0760,1.1690,15.541
3342970,K00800.02,Kepler-234 c,CONFIRMED,7.212037480,4.04910,3.32,0.0770,1025.0,260.58,6214.00,4.442,0.0700,1.0760,1.1690,15.541
12459725,K00789.01,,FALSE POSITIVE,14.179818700,2.50500,1.88,0.1137,711.0,60.35,5799.00,4.539,-0.1000,0.8780,0.9750,15.727
12470844,K00790.01,Kepler-233 b,CONFIRMED,8.472379110,2.72450,2.59,0.0778,751.0,75.44,5354.00,4.587,-0.0800,0.7880,0.8840,15.339
12470844,K00790.02,Kepler-233 c,CONFIRMED,60.418936900,5.03900,2.36,0.2884,390.0,5.49,5354.00,4.587,-0.0800,0.7880,0.8840,15.339
12644822,K00791.01,Kepler-682 b,CONFIRMED,12.611904345,5.14970,7.40,0.1058,753.0,76.15,5795.00,4.508,-0.0200,0.9190,0.9920,15.140
2440757,K00792.01,,FALSE POSITIVE,1.433769925,1.88680,46.58,0.0256,1920.0,3209.29,6017.00,4.220,0.0200,1.3390,1.0830,15.122
2445129,K00793.01,,FALSE POSITIVE,10.318723010,3.83600,28.59,0.0944,876.0,139.26,5927.00,4.409,0.0700,1.0600,1.0500,15.065
2713049,K00794.01,Kepler-683 b,CONFIRMED,2.539183147,2.42820,2.06,0.0355,1332.0,743.09,5519.00,4.350,0.1400,1.0620,0.9210,15.026
3114167,K00795.01,Kepler-684 b,CONFIRMED,6.770300385,2.08440,2.77,0.0640,812.0,102.87,5653.00,4.656,-0.8400,0.6790,0.7670,15.591
3114661,K00796.01,,FALSE POSITIVE,0.444291966,2.07920,27.51,0.0101,1836.0,2706.26,5255.00,4.678,-0.7200,0.6360,0.7090,15.748
3115833,K00797.01,,CANDIDATE,10.181584004,3.50890,7.73,0.0884,812.0,102.91,5988.00,4.541,-0.5200,0.8360,0.8850,15.657
4139816,K00812.02,Kepler-235 d,CONFIRMED,20.060363360,3.32030,1.96,0.1150,361.0,4.00,3950.00,4.754,-0.4600,0.4930,0.5020,15.954
4139816,K00812.03,Kepler-235 e,CONFIRMED,46.184203900,4.75800,1.83,0.2005,273.0,1.32,3950.00,4.754,-0.4600,0.4930,0.5020,15.954
8395660,K00116.04,Kepler-106 d,CONFIRMED,23.980085400,5.35100,1.31,0.1602,649.0,41.94,5854.00,4.406,-0.1200,1.0120,0.9510,12.882
4139816,K00812.04,Kepler-235 c,CONFIRMED,7.825021680,2.18600,1.20,0.0614,494.0,14.05,3950.00,4.754,-0.4600,0.4930,0.5020,15.954
4275191,K00813.01,Kepler-688 b,CONFIRMED,3.895936525,2.31110,7.34,0.0460,1005.0,241.62,5557.00,4.592,-0.3000,0.7740,0.8660,15.725
4476123,K00814.01,Kepler-689 b,CONFIRMED,22.366464660,5.22800,2.32,0.1449,536.0,19.45,5395.00,4.615,-0.3400,0.7340,0.8210,15.583
3351888,K00801.01,Kepler-685 b,CONFIRMED,1.625522174,2.38963,9.73,0.0265,1579.0,1467.41,5539.00,4.322,0.1600,1.1060,0.9350,15.001
3453214,K00802.01,,CANDIDATE,19.620346923,2.00380,13.60,0.1389,643.0,40.39,5710.00,4.492,-0.1000,0.9050,0.9280,15.562
3554600,K00803.01,,FALSE POSITIVE,7.544039000,6.22200,17.47,0.0731,838.0,116.46,5657.00,4.567,-0.1800,0.8240,0.9190,15.559
3641726,K00804.01,Kepler-1727 b,CONFIRMED,9.029306890,3.14490,2.57,0.0796,757.0,77.75,5349.00,4.526,-0.1200,0.8200,0.8240,15.387
3734868,K00805.01,,FALSE POSITIVE,10.328035714,7.79150,13.28,0.0888,843.0,119.31,5627.00,4.359,-0.1000,1.0240,0.8740,15.646
3832474,K00806.01,Kepler-30 d,CONFIRMED,143.206304700,8.93020,8.90,0.5336,308.0,2.14,5485.00,4.556,0.2100,0.8670,0.9860,15.403
8395660,K00116.03,Kepler-106 b,CONFIRMED,6.164876000,3.26200,0.79,0.0648,1021.0,256.35,5854.00,4.406,-0.1200,1.0120,0.9510,12.882
3832474,K00806.02,Kepler-30 c,CONFIRMED,60.324942160,6.61880,12.19,0.2998,411.0,6.77,5485.00,4.556,0.2100,0.8670,0.9860,15.403
3832474,K00806.03,Kepler-30 b,CONFIRMED,29.159861500,4.80300,1.91,0.1847,524.0,17.85,5485.00,4.556,0.2100,0.8670,0.9860,15.403
3836375,K00807.01,,FALSE POSITIVE,1.540397253,2.15410,25.69,0.0264,1470.0,1105.68,5663.00,4.530,0.2100,0.9150,1.0340,15.974
3838486,K00808.01,,FALSE POSITIVE,2.990254430,5.41400,1.70,0.0367,918.0,168.45,4667.00,4.578,0.1000,0.7310,0.7370,15.842
3935914,K00809.01,Kepler-686 b,CONFIRMED,1.594745374,1.96040,11.30,0.0258,1539.0,1329.42,5934.00,4.491,-0.3800,0.8930,0.9010,15.530
3940418,K00810.01,Kepler-1728 b,CONFIRMED,4.783002698,2.33500,2.50,0.0535,886.0,145.48,5170.00,4.574,0.1800,0.8070,0.8910,15.119
4049131,K00811.01,Kepler-687 b,CONFIRMED,20.505889210,4.05950,3.41,0.1326,518.0,17.06,4905.00,4.544,-0.0400,0.7610,0.7390,15.398
4139816,K00812.01,Kepler-235 b,CONFIRMED,3.340218842,1.91040,2.03,0.0348,656.0,43.73,3950.00,4.754,-0.4600,0.4930,0.5020,15.954
5287983,K00828.01,,FALSE POSITIVE,2.507089906,2.00670,30.26,0.0365,1326.0,730.47,5926.00,4.506,-0.0400,0.9390,1.0300,15.555
5358241,K00829.01,Kepler-53 b,CONFIRMED,18.649327280,4.40560,3.12,0.1390,701.0,57.13,5775.00,4.405,0.1600,1.0530,1.0260,15.386
10875245,K00117.02,Kepler-107 c,CONFIRMED,4.901449760,4.16540,1.70,0.0586,1262.0,598.74,5847.00,4.191,0.2600,1.4020,1.1130,12.487
5358241,K00829.02,Kepler-53 d,CONFIRMED,9.751921010,4.79300,2.76,0.0902,870.0,135.66,5775.00,4.405,0.1600,1.0530,1.0260,15.386
5358241,K00829.03,Kepler-53 c,CONFIRMED,38.557654600,5.79400,4.02,0.2255,550.0,21.71,5775.00,4.405,0.1600,1.0530,1.0260,15.386
5358624,K00830.01,Kepler-428 b,CONFIRMED,3.525632539,2.59959,11.58,0.0431,975.0,213.12,5150.00,4.572,0.0800,0.7930,0.8550,15.224
4544670,K00815.01,,CANDIDATE,34.843986440,2.93150,7.61,0.1971,511.0,16.10,5509.00,4.482,-0.1600,0.8710,0.8400,15.684
4664847,K00816.01,Kepler-690 b,CONFIRMED,7.748094239,3.59570,5.52,0.0810,964.0,204.39,5973.00,4.439,0.3600,1.0850,1.1810,15.670
4725681,K00817.01,Kepler-236 c,CONFIRMED,23.967936690,3.82700,1.80,0.1322,329.0,2.77,3747.00,4.728,0.1000,0.5240,0.5360,15.414
4725681,K00817.02,Kepler-236 b,CONFIRMED,8.295617380,1.34210,1.82,0.0652,469.0,11.39,3747.00,4.728,0.1000,0.5240,0.5360,15.414
4913852,K00818.01,Kepler-691 b,CONFIRMED,8.114374820,2.27360,2.10,0.0649,460.0,10.55,3692.00,4.753,0.2800,0.5170,0.5530,15.877
4932348,K00819.01,,FALSE POSITIVE,38.036729482,4.34617,27.50,0.2252,500.0,14.81,5575.00,4.521,0.3600,0.9320,1.0510,15.472
4936180,K00820.01,,CANDIDATE,4.640900310,35.51200,30.09,0.0503,1155.0,421.08,6463.00,4.500,-1.6600,0.8260,0.7860,15.270
11913073,K00011.01,,FALSE POSITIVE,3.747838198,5.06420,13.65,0.0460,1031.0,266.76,5514.00,4.569,-0.0400,0.8260,0.9260,13.496
10875245,K00117.01,Kepler-107 e,CONFIRMED,14.749148250,6.09950,2.89,0.1221,874.0,137.91,5847.00,4.191,0.2600,1.4020,1.1130,12.487
5021899,K00821.01,Kepler-692 b,CONFIRMED,21.812959960,4.37910,3.38,0.1495,639.0,39.33,5601.00,4.410,0.0800,0.9990,0.9340,15.540
5077629,K00822.01,,FALSE POSITIVE,7.919369370,3.31480,10.34,0.0737,814.0,104.00,5690.00,4.588,-0.4000,0.7760,0.8520,15.805
5115978,K00823.01,,CANDIDATE,1.028436523,1.86060,72.77,0.0197,1947.0,3400.48,6228.00,4.428,-0.4400,0.9900,0.9590,15.202
5164255,K00824.01,Kepler-693 b,CONFIRMED,15.375623690,3.31690,11.01,0.1121,600.0,30.54,4986.00,4.496,0.1600,0.8330,0.7930,16.422
5252423,K00825.01,Kepler-237 c,CONFIRMED,8.103632710,3.16100,2.11,0.0712,687.0,52.82,4861.00,4.574,-0.0800,0.7320,0.7330,15.289
5252423,K00825.02,Kepler-237 b,CONFIRMED,4.715108430,2.50600,1.46,0.0496,823.0,108.84,4861.00,4.574,-0.0800,0.7320,0.7330,15.289
5272878,K00826.01,Kepler-694 b,CONFIRMED,6.365839713,2.97210,2.44,0.0659,914.0,165.33,5776.00,4.554,-0.1800,0.8490,0.9390,15.090
5283542,K00827.01,,FALSE POSITIVE,5.975817540,3.06500,3.86,0.0660,1047.0,284.25,6108.00,4.471,-0.0800,0.9970,1.0720,15.546
5649215,K00839.01,,FALSE POSITIVE,2.446737317,4.72110,26.25,0.0351,1261.0,597.19,5764.00,4.548,-0.1200,0.8630,0.9590,15.021
5651104,K00840.01,Kepler-695 b,CONFIRMED,3.040330460,1.84110,8.99,0.0374,1021.0,257.29,5035.00,4.519,-0.0600,0.7910,0.7540,15.028
5792202,K00841.01,Kepler-27 b,CONFIRMED,15.335286750,3.89700,5.00,0.1179,610.0,32.67,5251.00,4.581,0.2100,0.8170,0.9260,15.855
10875245,K00117.04,Kepler-107 d,CONFIRMED,7.958253280,4.37700,1.06,0.0809,1074.0,314.15,5847.00,4.191,0.2600,1.4020,1.1130,12.487
5792202,K00841.02,Kepler-27 c,CONFIRMED,31.330461350,5.17600,6.50,0.1898,481.0,12.61,5251.00,4.581,0.2100,0.8170,0.9260,15.855
5370302,K00831.01,,FALSE POSITIVE,3.904342500,3.83100,12.28,0.0484,1104.0,351.05,5810.00,4.526,-0.0600,0.8980,0.9890,15.016
5372966,K00832.01,,FALSE POSITIVE,9.286358079,3.49949,17.61,0.0810,796.0,95.03,5670.00,4.523,-0.4000,0.8210,0.8200,15.365
5376067,K00833.01,,FALSE POSITIVE,3.951405455,2.18620,31.44,0.0482,1133.0,388.71,6046.00,4.539,-0.3800,0.8690,0.9530,15.446
5436502,K00834.01,Kepler-238 e,CONFIRMED,23.653694150,8.21830,7.89,0.1658,731.0,67.65,5739.00,4.191,0.3000,1.3840,1.0830,15.084
5436502,K00834.02,Kepler-238 d,CONFIRMED,13.233522140,6.73720,3.06,0.1126,888.0,146.67,5739.00,4.191,0.3000,1.3840,1.0830,15.084
5436502,K00834.03,Kepler-238 c,CONFIRMED,6.155602850,4.98430,2.32,0.0676,1146.0,406.94,5739.00,4.191,0.3000,1.3840,1.0830,15.084
5436502,K00834.04,Kepler-238 b,CONFIRMED,2.090811305,3.38800,1.62,0.0329,1642.0,1718.04,5739.00,4.191,0.3000,1.3840,1.0830,15.084
10875245,K00117.03,Kepler-107 b,CONFIRMED,3.180027898,3.57970,1.53,0.0439,1458.0,1066.86,5847.00,4.191,0.2600,1.4020,1.1130,12.487
5436502,K00834.05,Kepler-238 f,CONFIRMED,50.446741700,7.15900,2.67,0.2747,568.0,24.64,5739.00,4.191,0.3000,1.3840,1.0830,15.084
5456651,K00835.01,Kepler-239 b,CONFIRMED,11.763071640,2.90760,2.35,0.0954,616.0,33.99,4959.00,4.603,0.1600,0.7560,0.8490,15.208
5456651,K00835.02,Kepler-239 c,CONFIRMED,56.227927100,3.57000,2.37,0.2707,366.0,4.22,4959.00,4.603,0.1600,0.7560,0.8490,15.208
5481416,K00836.01,,FALSE POSITIVE,2.384052875,3.09180,17.06,0.0308,1010.0,244.87,4794.00,4.580,-0.2200,0.7010,0.6830,15.836
5531576,K00837.01,Kepler-240 c,CONFIRMED,7.953547000,2.63120,2.25,0.0712,696.0,55.37,4768.00,4.536,0.1800,0.7790,0.7590,15.660
5531576,K00837.02,Kepler-240 b,CONFIRMED,4.144516560,2.34210,1.48,0.0461,864.0,132.08,4768.00,4.536,0.1800,0.7790,0.7590,15.660
5534814,K00838.01,,FALSE POSITIVE,4.859386384,2.27570,38.33,0.0571,1114.0,364.23,6072.00,4.470,-0.1000,0.9880,1.0500,15.311
6291653,K00850.01,Kepler-702 b,CONFIRMED,10.526294577,2.52110,8.24,0.0880,713.0,61.16,5386.00,4.553,-0.2000,0.7930,0.8200,15.305
6392727,K00851.01,Kepler-703 b,CONFIRMED,4.583520948,2.70550,5.39,0.0535,1038.0,274.98,5815.00,4.540,-0.1200,0.8770,0.9730,15.287
6422070,K00852.01,Kepler-704 b,CONFIRMED,3.761818430,3.51760,2.66,0.0470,1121.0,372.62,5653.00,4.472,0.1000,0.9490,0.9740,15.257
6428700,K00853.01,Kepler-242 b,CONFIRMED,8.203969580,2.96670,3.01,0.0735,742.0,71.50,5015.00,4.499,0.1000,0.8260,0.7850,15.376
6428700,K00853.02,Kepler-242 c,CONFIRMED,14.496451860,4.01600,3.01,0.1074,613.0,33.48,5015.00,4.499,0.1000,0.8260,0.7850,15.376
5792202,K00841.03,Kepler-27 d,CONFIRMED,6.546261490,2.75000,2.19,0.0668,810.0,101.78,5251.00,4.581,0.2100,0.8170,0.9260,15.855
